NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
38001;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;18;1;1;0;0;0;0;0;0;AMGUN;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0101;0;
38002;Установка поездных маршрутов;Нечетный прием по Н на 3 путь;НП-3П;0;18;1;2;0;0;0;0;0;0;AMGUN;41;33;0;@свтН;@свтЧ3;;;;;;0;0;;0;;;0; 0x0102;0;
38003;Установка поездных маршрутов;Нечетный прием по Н на 4 путь;НП-4П;0;18;1;3;0;0;0;0;0;0;AMGUN;41;34;0;@свтН;@свтЧ4;;;;;;0;0;;0;;;0; 0x0103;0;
38004;Установка поездных маршрутов;Нечетный прием по Н на 5 путь;НП-5П;0;18;1;4;0;0;0;0;0;0;AMGUN;41;35;0;@свтН;@свтЧ5;;;;;;0;0;;0;;;0; 0x0104;0;
38005;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;18;1;5;0;0;0;0;0;0;AMGUN;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0105;0;
38006;Установка поездных маршрутов;Четный прием по Ч на 3 путь;ЧП-3П;0;18;1;6;0;0;0;0;0;0;AMGUN;11;23;0;@свтЧ;@свтН3;;;;;;0;0;;0;;;0; 0x0106;0;
38007;Установка поездных маршрутов;Четный прием по Ч на 4 путь;ЧП-4П;0;18;1;7;0;0;0;0;0;0;AMGUN;11;24;0;@свтЧ;@свтН4;;;;;;0;0;;0;;;0; 0x0107;0;
38008;Установка поездных маршрутов;Четный прием по Ч на 5 путь;ЧП-5П;0;18;1;8;0;0;0;0;0;0;AMGUN;11;25;0;@свтЧ;@свтН5;;;;;;0;0;;0;;;0; 0x0108;0;
38009;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;18;1;9;0;0;0;0;0;0;AMGUN;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0109;0;
38010;Установка поездных маршрутов;Нечетное отправление по Н3 с 3 пути;НО3П;0;18;1;10;0;0;0;0;0;0;AMGUN;23;11;0;@свтН3;@свтЧ;;;;;;0;0;;0;;;0; 0x010A;0;
38011;Установка поездных маршрутов;Нечетное отправление по Н4 с 4 пути;НО4П;0;18;1;11;0;0;0;0;0;0;AMGUN;24;11;0;@свтН4;@свтЧ;;;;;;0;0;;0;;;0; 0x010B;0;
38012;Установка поездных маршрутов;Нечетное отправление по Н5 с 5 пути;НО5П;0;18;1;12;0;0;0;0;0;0;AMGUN;25;11;0;@свтН5;@свтЧ;;;;;;0;0;;0;;;0; 0x010C;0;
38013;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;18;1;13;0;0;0;0;0;0;AMGUN;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x010D;0;
