NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
5001;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;5;1;1;0;0;0;0;0;0;ANOSOV;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
5002;Установка поездных маршрутов;Четный прием по Ч на 2 путь;ЧП-2П;0;5;1;2;0;0;0;0;0;0;ANOSOV;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0102;0;
5003;Установка поездных маршрутов;Четный прием по Ч на 4 путь;ЧП-4П;0;5;1;3;0;0;0;0;0;0;ANOSOV;11;24;0;@свтЧ;@свтН4;;;;;;0;0;;0;;;0; 0x0103;0;
5004;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;5;1;4;0;0;0;0;0;0;ANOSOV;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0104;0;
5005;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;5;1;5;0;0;0;0;0;0;ANOSOV;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0105;0;
5006;Установка поездных маршрутов;Нечетное отправление по Н4 с 4 пути;НО4П;0;5;1;6;0;0;0;0;0;0;ANOSOV;24;11;0;@свтН4;@свтЧ;;;;;;0;0;;0;;;0; 0x0106;0;
5007;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;5;1;7;0;0;0;0;0;0;ANOSOV;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
5008;Установка поездных маршрутов;Четное отправление по Ч2 с 2 пути;ЧО2П;0;5;1;8;0;0;0;0;0;0;ANOSOV;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
5009;Установка поездных маршрутов;Четное отправление по Ч4 с 4 пути;ЧО4П;0;5;1;9;0;0;0;0;0;0;ANOSOV;34;41;0;@свтЧ4;@свтН;;;;;;0;0;;0;;;0; 0x0109;0;
5010;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;5;1;10;0;0;0;0;0;0;ANOSOV;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x010A;0;
5011;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;5;1;11;0;0;0;0;0;0;ANOSOV;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x010B;0;
5012;Установка поездных маршрутов;Нечетный прием по Н на 4 путь;НП-4П;0;5;1;12;0;0;0;0;0;0;ANOSOV;41;34;0;@свтН;@свтЧ4;;;;;;0;0;;0;;;0; 0x010C;0;
5013;Установка маневровых маршрутов;По светофору М1 на 1 путь;ММ1-1П;0;5;3;1;0;0;0;0;0;0;ANOSOV;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0301;0;
5014;Установка маневровых маршрутов;По светофору М1 на 2 путь;ММ1-2П;0;5;3;2;0;0;0;0;0;0;ANOSOV;0;0;0;@свтМ1;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0302;0;
5015;Установка маневровых маршрутов;По светофору М1 на 4 путь;ММ1-4П;0;5;3;3;0;0;0;0;0;0;ANOSOV;0;0;0;@свтМ1;@свтмЧ4;;;;;;0;0;;0;;;0; 0x0303;0;
5016;Установка маневровых маршрутов;По светофору М3 на 2 путь;ММ3-2П;0;5;3;4;0;0;0;0;0;0;ANOSOV;0;0;0;@свтМ3;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0304;0;
5017;Установка маневровых маршрутов;По светофору М3 на 4 путь;ММ3-4П;0;5;3;5;0;0;0;0;0;0;ANOSOV;0;0;0;@свтМ3;@свтмЧ4;;;;;;0;0;;0;;;0; 0x0305;0;
5018;Установка маневровых маршрутов;По светофору Н1М за М2;МН1-М2;0;5;3;6;0;0;0;0;0;0;ANOSOV;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x0306;0;
5019;Установка маневровых маршрутов;По светофору Н2М за М2;МН2-М2;0;5;3;7;0;0;0;0;0;0;ANOSOV;0;0;0;@свтмН2;@свтМ2;;;;;;0;0;;0;;;0; 0x0307;0;
