NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
34001;Установка поездных маршрутов;Четный прием по Ч c 1ЧП на IП путь;ЧП-1ЧП-IП;0;14;1;1;0;0;0;0;0;0;BADJAL;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
34002;Установка поездных маршрутов;Четный прием по Ч c 1ЧП на 2АП путь;ЧП-1ЧП-2АП;0;14;1;2;0;0;0;0;0;0;BADJAL;11;22;0;@свтЧ;@свтН2А;;;;;;0;0;;0;;;0; 0x0102;0;
34003;Установка поездных маршрутов;Нечетное отправление по Н1 с IП пути на 1ЧП;НО-IП-1ЧП;0;14;1;3;0;0;0;0;0;0;BADJAL;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0103;0;
34004;Установка поездных маршрутов;Нечетное отправление по Н2А с 2АП пути на 1ЧП;НО-2АП-1ЧП;0;14;1;4;0;0;0;0;0;0;BADJAL;22;11;0;@свтН2А;@свтЧ;;;;;;0;0;;0;;;0; 0x0104;0;
34005;Установка поездных маршрутов;Нечетный прием по Н с 1НП на IАП путь;НП-1НП-IАП;0;14;1;5;0;0;0;0;0;0;BADJAL;41;31;0;@свтН;@свтЧ1А;;;;;;0;0;;0;;;0; 0x0105;0;
34006;Установка поездных маршрутов;Нечетный прием по Н с 1НП на 2П путь;НП-1НП-2П;0;14;1;6;0;0;0;0;0;0;BADJAL;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0106;0;
34007;Установка поездных маршрутов;Четное отправление по Ч1А с IАП пути на 1НП;ЧО-IАП-1НП;0;14;1;7;0;0;0;0;0;0;BADJAL;31;41;0;@свтЧ1А;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
34008;Установка поездных маршрутов;Четное отправление по Ч2 с 2П пути на 1НП;ЧО-2П-1НП;0;14;1;8;0;0;0;0;0;0;BADJAL;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
34009;Установка поездных маршрутов;Передача по ЧМ1 с IП пути на IАП путь;ПР-IП-IАП;0;14;1;9;0;0;0;0;0;0;BADJAL;51;81;0;@свтЧм1;@свтНм1А;;;;;;0;0;;0;;;0; 0x0109;0;
34010;Установка поездных маршрутов;Передача по ЧМ1 с IП пути на 2П путь;ПР-IП-2П;0;14;1;10;0;0;0;0;0;0;BADJAL;51;82;0;@свтЧм1;@свтНм2;;;;;;0;0;;0;;;0; 0x010A;0;
34011;Установка поездных маршрутов;Передача по ЧМ2А с 2АП пути на IАП путь;ПР-2АП-IАП;0;14;1;11;0;0;0;0;0;0;BADJAL;52;81;0;@свтЧм2А;@свтНм1А;;;;;;0;0;;0;;;0; 0x010B;0;
34012;Установка поездных маршрутов;Передача по ЧМ2А с 2АП пути на 2П путь;ПР-2АП-2П;0;14;1;12;0;0;0;0;0;0;BADJAL;52;82;0;@свтЧм2А;@свтНм2;;;;;;0;0;;0;;;0; 0x010C;0;
34013;Установка поездных маршрутов;Передача по НМ1А с IАП пути на IП путь;ПР-IАП-IП;0;14;1;13;0;0;0;0;0;0;BADJAL;81;51;0;@свтНм1А;@свтЧм1;;;;;;0;0;;0;;;0; 0x010D;0;
34014;Установка поездных маршрутов;Передача по НМ1А с IАП пути на 2АП путь;ПР-IАП-2АП;0;14;1;14;0;0;0;0;0;0;BADJAL;81;52;0;@свтНм1А;@свтЧм2А;;;;;;0;0;;0;;;0; 0x010E;0;
34015;Установка поездных маршрутов;Передача по НМ2 с 2П пути на IП путь;ПР-2П-IП;0;14;1;15;0;0;0;0;0;0;BADJAL;82;51;0;@свтНм2;@свтЧм1;;;;;;0;0;;0;;;0; 0x010F;0;
34016;Установка поездных маршрутов;Передача по НМ2 с 2П пути на 2АП путь;ПР-2П-2АП;0;14;1;16;0;0;0;0;0;0;BADJAL;82;52;0;@свтНм2;@свтЧм2А;;;;;;0;0;;0;;;0; 0x0110;0;
34017;Установка маневровых маршрутов;По светофору М2 на IП путь;ММ2-IП;0;14;3;1;0;0;0;0;0;0;BADJAL;0;0;0;@свтМ2;@свтмН1;;;;;;0;0;;0;;;0; 0x0301;0;
34018;Установка маневровых маршрутов;По светофору М2 на 2АП путь;ММ2-2АП;0;14;3;2;0;0;0;0;0;0;BADJAL;0;0;0;@свтМ2;@свтмН2А;;;;;;0;0;;0;;;0; 0x0302;0;
34019;Установка маневровых маршрутов;По светофору М4 на 2АП путь;ММ4-2АП;0;14;3;3;0;0;0;0;0;0;BADJAL;0;0;0;@свтМ4;@свтмН2А;;;;;;0;0;;0;;;0; 0x0303;0;
34020;Установка маневровых маршрутов;По светофору М1 на IАП путь;ММ1-IАП;0;14;3;4;0;0;0;0;0;0;BADJAL;0;0;0;@свтМ1;@свтмЧ1А;;;;;;0;0;;0;;;0; 0x0304;0;
