NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
9001;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;9;1;1;0;0;0;0;0;0;BELENKA;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
9002;Установка поездных маршрутов;Четный прием по Ч на 3 путь;ЧП-3П;0;9;1;2;0;0;0;0;0;0;BELENKA;11;23;0;@свтЧ;@свтН3;;;;;;0;0;;0;;;0; 0x0102;0;
9003;Установка поездных маршрутов;Четный прием по Ч на 5 путь;ЧП-5П;0;9;1;3;0;0;0;0;0;0;BELENKA;11;25;0;@свтЧ;@свтН5;;;;;;0;0;;0;;;0; 0x0103;0;
9004;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;9;1;4;0;0;0;0;0;0;BELENKA;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0104;0;
9005;Установка поездных маршрутов;Нечетное отправление по Н3 с 3 пути;НО3П;0;9;1;5;0;0;0;0;0;0;BELENKA;23;11;0;@свтН3;@свтЧ;;;;;;0;0;;0;;;0; 0x0105;0;
9006;Установка поездных маршрутов;Нечетное отправление по Н5 с 5 пути;НО5П;0;9;1;6;0;0;0;0;0;0;BELENKA;25;11;0;@свтН5;@свтЧ;;;;;;0;0;;0;;;0; 0x0106;0;
9007;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;9;1;7;0;0;0;0;0;0;BELENKA;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
9008;Установка поездных маршрутов;Четное отправление по Ч3 с 3 пути;ЧО3П;0;9;1;8;0;0;0;0;0;0;BELENKA;33;41;0;@свтЧ3;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
9009;Установка поездных маршрутов;Четное отправление по Ч5 с 5 пути;ЧО5П;0;9;1;9;0;0;0;0;0;0;BELENKA;35;41;0;@свтЧ5;@свтН;;;;;;0;0;;0;;;0; 0x0109;0;
9010;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;9;1;10;0;0;0;0;0;0;BELENKA;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x010A;0;
9011;Установка поездных маршрутов;Нечетный прием по Н на 3 путь;НП-3П;0;9;1;11;0;0;0;0;0;0;BELENKA;41;33;0;@свтН;@свтЧ3;;;;;;0;0;;0;;;0; 0x010B;0;
9012;Установка поездных маршрутов;Нечетный прием по Н на 5 путь;НП-5П;0;9;1;12;0;0;0;0;0;0;BELENKA;41;35;0;@свтН;@свтЧ5;;;;;;0;0;;0;;;0; 0x010C;0;
9013;Установка маневровых маршрутов;По светофору М1 на 1 путь;ММ1-1П;0;9;3;1;0;0;0;0;0;0;BELENKA;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0301;0;
9014;Установка маневровых маршрутов;По светофору М1 на 3 путь;ММ1-3П;0;9;3;2;0;0;0;0;0;0;BELENKA;0;0;0;@свтМ1;@свтмЧ3;;;;;;0;0;;0;;;0; 0x0302;0;
9015;Установка маневровых маршрутов;По светофору М1 на 5 путь;ММ1-5П;0;9;3;3;0;0;0;0;0;0;BELENKA;0;0;0;@свтМ1;@свтмЧ5;;;;;;0;0;;0;;;0; 0x0303;0;
9016;Установка маневровых маршрутов;По светофору М2 на 1 путь;ММ2-1П;0;9;3;4;0;0;0;0;0;0;BELENKA;0;0;0;@свтМ2;@свтмН1;;;;;;0;0;;0;;;0; 0x0304;0;
9017;Установка маневровых маршрутов;По светофору М2 на 3 путь;ММ2-3П;0;9;3;5;0;0;0;0;0;0;BELENKA;0;0;0;@свтМ2;@свтмН3;;;;;;0;0;;0;;;0; 0x0305;0;
9018;Установка маневровых маршрутов;По светофору М2 на 5 путь;ММ2-5П;0;9;3;6;0;0;0;0;0;0;BELENKA;0;0;0;@свтМ2;@свтмН5;;;;;;0;0;;0;;;0; 0x0306;0;
9019;Установка маневровых маршрутов;По светофору М3 за М5;ММ3-М5;0;9;3;7;0;0;0;0;0;0;BELENKA;0;0;0;@свтМ3;@свтМ5;;;;;;0;0;;0;;;0; 0x0307;0;
9020;Установка маневровых маршрутов;По светофору М3 на 3 путь;ММ3-3П;0;9;3;8;0;0;0;0;0;0;BELENKA;0;0;0;@свтМ3;@свтмЧ3;;;;;;0;0;;0;;;0; 0x0308;0;
9021;Установка маневровых маршрутов;По светофору М3 на 5 путь;ММ3-5П;0;9;3;9;0;0;0;0;0;0;BELENKA;0;0;0;@свтМ3;@свтмЧ5;;;;;;0;0;;0;;;0; 0x0309;0;
9022;Установка маневровых маршрутов;По светофору Н1М за М2;МН1-М2;0;9;3;10;0;0;0;0;0;0;BELENKA;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x030A;0;
9023;Установка маневровых маршрутов;По светофору Н3М за М2;МН3-М2;0;9;3;11;0;0;0;0;0;0;BELENKA;0;0;0;@свтмН3;@свтМ2;;;;;;0;0;;0;;;0; 0x030B;0;
9024;Установка маневровых маршрутов;По светофору Н5М за М2;МН5-М2;0;9;3;12;0;0;0;0;0;0;BELENKA;0;0;0;@свтмН5;@свтМ2;;;;;;0;0;;0;;;0; 0x030C;0;
9025;Установка маневровых маршрутов;По светофору Ч1М за М1;МЧ1-М1;0;9;3;13;0;0;0;0;0;0;BELENKA;0;0;0;@свтмЧ1;@свтМ1;;;;;;0;0;;0;;;0; 0x030D;0;
9026;Установка маневровых маршрутов;По светофору Ч3М за М1;МЧ3-М1;0;9;3;14;0;0;0;0;0;0;BELENKA;0;0;0;@свтмЧ3;@свтМ1;;;;;;0;0;;0;;;0; 0x030E;0;
9027;Установка маневровых маршрутов;По светофору Ч3М за М3;МЧ3-М3;0;9;3;15;0;0;0;0;0;0;BELENKA;0;0;0;@свтмЧ3;@свтМ3;;;;;;0;0;;0;;;0; 0x030F;0;
9028;Установка маневровых маршрутов;По светофору Ч5М за М1;МЧ5-М1;0;9;3;16;0;0;0;0;0;0;BELENKA;0;0;0;@свтмЧ5;@свтМ1;;;;;;0;0;;0;;;0; 0x0310;0;
9029;Установка маневровых маршрутов;По светофору Ч5М за М3;МЧ5-М3;0;9;3;17;0;0;0;0;0;0;BELENKA;0;0;0;@свтмЧ5;@свтМ3;;;;;;0;0;;0;;;0; 0x0311;0;
9030;Установка маневровых маршрутов;По светофору М5 за М3;ММ5-М3;0;9;3;18;0;0;0;0;0;0;BELENKA;0;0;0;@свтМ5;@свтМ3;;;;;;0;0;;0;;;0; 0x0312;0;
9031;Отмена поездных маршрутов;По светофору Ч;ОПЧ;0;9;2;1;0;0;0;0;0;0;BELENKA;12909;11;0;;@свтЧ;;;_USTR(Ч->Миг-е=1);_USTR(Ч->Миг-е=0);;0;0;;0;;;0; 0x0201;0;
9032;Отмена поездных маршрутов;По светофору Н1;ОПН1;0;9;2;2;0;0;0;0;0;0;BELENKA;12909;21;0;;@свтН1;;;_USTR(Н1->Миг-е=1);_USTR(Н1->Миг-е=0);;0;0;;0;;;0; 0x0202;0;
9033;Отмена поездных маршрутов;По светофору Н3;ОПН3;0;9;2;3;0;0;0;0;0;0;BELENKA;12909;23;0;;@свтН3;;;_USTR(Н3->Миг-е=1);_USTR(Н3->Миг-е=0);;0;0;;0;;;0; 0x0203;0;
9034;Отмена поездных маршрутов;По светофору Н5;ОПН5;0;9;2;4;0;0;0;0;0;0;BELENKA;12909;25;0;;@свтН5;;;_USTR(Н5->Миг-е=1);_USTR(Н5->Миг-е=0);;0;0;;0;;;0; 0x0204;0;
9035;Отмена поездных маршрутов;По светофору Ч1;ОПЧ1;0;9;2;5;0;0;0;0;0;0;BELENKA;12909;31;0;;@свтЧ1;;;_USTR(Ч1->Миг-е=1);_USTR(Ч1->Миг-е=0);;0;0;;0;;;0; 0x0205;0;
9036;Отмена поездных маршрутов;По светофору Ч3;ОПЧ3;0;9;2;6;0;0;0;0;0;0;BELENKA;12909;33;0;;@свтЧ3;;;_USTR(Ч3->Миг-е=1);_USTR(Ч3->Миг-е=0);;0;0;;0;;;0; 0x0206;0;
9037;Отмена поездных маршрутов;По светофору Ч5;ОПЧ5;0;9;2;7;0;0;0;0;0;0;BELENKA;12909;35;0;;@свтЧ5;;;_USTR(Ч5->Миг-е=1);_USTR(Ч5->Миг-е=0);;0;0;;0;;;0; 0x0207;0;
9038;Отмена поездных маршрутов;По светофору Н;ОПН;0;9;2;8;0;0;0;0;0;0;BELENKA;12909;41;0;;@свтН;;;_USTR(Н->Миг-е=1);_USTR(Н->Миг-е=0);;0;0;;0;;;0; 0x0208;0;
9039;Отмена маневровых маршрутов;По светофору М1;ОММ1;0;9;4;1;0;0;0;0;0;0;BELENKA;9;0;0;;@свтМ1;;;_USTR(М1->Миг-е=1);_USTR(М1->Миг-е=0);;0;0;;0;;;0; 0x0401;0;
