NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
20801;Другие команды;Отмена разрешения на отправление нечетное по 2 пути;ОДСНО;0;2;10;15;0;0;0;0;0;0;BESTUGEV;27916;1032;0;@лмпРОН;@свтimpuls_busi_1;;;;;;0;0;;0;;;0; 0x0A0F;0;
20802;Другие команды;Разрешение отправления нечётное по 2 пути;ДСНО;0;2;10;23;0;0;0;0;0;0;BESTUGEV;26625;1031;0;@лмпРОН;@свтimpuls_busi_0;;;;;;0;0;;0;;;0; 0x0A17;0;
20803;Другие команды;Отмена разрешения на отправление нечетное по 1 пути;ОДСНДО;0;2;10;27;0;0;0;0;0;0;BESTUGEV;27904;1032;0;@лмпОДСНДО;;;;;;;0;0;;0;;;0; 0x0A1B;0;
20804;Другие команды;Разрешение отправления нечётное по 1 пути;ДСНДО;0;2;10;29;0;0;0;0;0;0;BESTUGEV;26624;1031;0;@лмпДСНДО;;;;;;;0;0;;0;;;0; 0x0A1D;0;
20805;Другие команды;Отмена разрешения на отправление четное;ОДСЧУО;0;2;10;30;0;0;0;0;0;0;BESTUGEV;28160;1032;0;@лмпОДСЧУО;;;;;;;0;0;;0;;;0; 0x0A1E;0;
20806;Другие команды;Разрешение отправления четное;ДСЧУО;0;2;10;39;0;0;0;0;0;0;BESTUGEV;26880;1031;0;@лмпДСЧУО;;;;;;;0;0;;0;;;0; 0x0A27;0;
21001;Диагностические команды;Включить контроль станции;ВК;0;2;15;15;0;0;0;0;0;0;BESTUGEV;0;1031;0;@лмпВК;;;;;;;0;0;;0;;;0; 0x0F0F;0;
21002;Диагностические команды;Отключить контроль станции;ОК;0;2;15;23;0;0;0;0;0;0;BESTUGEV;0;1031;0;@лмпОК;;;;;;;0;0;;1;;;0; 0x0F17;0;
21003;Диагностические команды;Включить частоту;ВЧ;0;2;15;27;0;0;0;0;0;0;BESTUGEV;0;1031;0;@лмпВЧ;;;;;;;0;0;;1;;;0; 0x0F1B;0;
21004;Диагностические команды;Отключить частоту;ОЧ;0;2;15;29;0;0;0;0;0;0;BESTUGEV;0;1031;0;@лмпОЧ;;;;;;;0;0;;1;;;0; 0x0F1D;0;
20907;Ответственные команды;ПАСН нечетной горловины;НАСН;0;0;0;0;0;0;0;0;0;0;;0;0;0;@нпрН;;;;_USTR(Н->_UC=2);_USTR(Н->_UC=0);;0;20908;30901^20907^30901;1;;;0; 0x0000;0;
20908;Ответственные команды;ОАСН с приема на отправление нечетной горловины;НДЧО;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;;;0;0;30902;2;;;0; 0x0000;0;
