NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
2001;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;2;1;1;0;0;0;0;0;0;BOLEN;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0101;0;
2002;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;2;1;2;0;0;0;0;0;0;BOLEN;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0102;0;
2003;Установка поездных маршрутов;Нечетный прием по Н на 4 путь;НП-4П;0;2;1;3;0;0;0;0;0;0;BOLEN;41;34;0;@свтН;@свтЧ4;;;;;;0;0;;0;;;0; 0x0103;0;
2004;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;2;1;4;0;0;0;0;0;0;BOLEN;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0104;0;
2005;Установка поездных маршрутов;Четное отправление по Ч2 с 2 пути;ЧО2П;0;2;1;5;0;0;0;0;0;0;BOLEN;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0105;0;
2006;Установка поездных маршрутов;Четное отправление по Ч4 с 4 пути;ЧО4П;0;2;1;6;0;0;0;0;0;0;BOLEN;34;41;0;@свтЧ4;@свтН;;;;;;0;0;;0;;;0; 0x0106;0;
2007;Установка поездных маршрутов;Четный прием по Ч до ЧМ1А;ЧП-ЧМ1А;0;2;1;7;0;0;0;0;0;0;BOLEN;11;21;0;@свтЧ;@свтН1А;;;;;;0;0;;0;;;0; 0x0107;0;
2008;Установка поездных маршрутов;Нечетное отправление по Н1А;НО-Н1А;0;2;1;8;0;0;0;0;0;0;BOLEN;21;11;0;@свтН1А;@свтЧ;;;;;;0;0;;0;;;0; 0x0108;0;
2009;Установка поездных маршрутов;Четная передача по ЧМ1А до ЧМ1Г;ЧМ1А-ЧМ1Г;0;2;1;9;0;0;0;0;0;0;BOLEN;51;0;0;@свтЧм1А;@свтНм1Б;;;;;;0;0;;0;;;0; 0x0109;0;
2010;Установка поездных маршрутов;Нечетная передача по НМ1Б до Н1А;НМ1Б-Н1А;0;2;1;10;0;0;0;0;0;0;BOLEN;0;51;0;@свтНм1Б;@свтЧм1А;;;;;;0;0;;0;;;0; 0x010A;0;
2011;Установка поездных маршрутов;Четная передача по ЧМ1Г на 1 путь;ЧМ1Г-1П;0;2;1;11;0;0;0;0;0;0;BOLEN;0;81;0;@свтЧм1Г;@свтНм1;;;;;;0;0;;0;;;0; 0x010B;0;
2012;Установка поездных маршрутов;Четная передача по ЧМ1Г на 2 путь;ЧМ1Г-2П;0;2;1;12;0;0;0;0;0;0;BOLEN;0;82;0;@свтЧм1Г;@свтНм2;;;;;;0;0;;0;;;0; 0x010C;0;
2013;Установка поездных маршрутов;Четная передача по ЧМ1Г на 4 путь;ЧМ1Г-4П;0;2;1;13;0;0;0;0;0;0;BOLEN;0;84;0;@свтЧм1Г;@свтНм4;;;;;;0;0;;0;;;0; 0x010D;0;
2014;Установка поездных маршрутов;Нечетная передача по НМ1 до НМ1Б;НМ1-НМ1Б;0;2;1;14;0;0;0;0;0;0;BOLEN;81;0;0;@свтНм1;@свтЧм1Г;;;;;;0;0;;0;;;0; 0x010E;0;
2015;Установка поездных маршрутов;Нечетная передача по НМ2 до НМ1Б;НМ2-НМ1Б;0;2;1;15;0;0;0;0;0;0;BOLEN;82;0;0;@свтНм2;@свтЧм1Г;;;;;;0;0;;0;;;0; 0x010F;0;
2016;Установка поездных маршрутов;Нечетная передача по НМ4 до НМ1Б;НМ4-НМ1Б;0;2;1;16;0;0;0;0;0;0;BOLEN;84;0;0;@свтНм4;@свтЧм1Г;;;;;;0;0;;0;;;0; 0x0110;0;
2017;Установка маневровых маршрутов;По светофору М3 до М19;ММ3-М19;0;2;3;1;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ3;@свтМ19;;;;;;0;0;;0;;;0; 0x0301;0;
2018;Установка маневровых маршрутов;По светофору М3 за М21;ММ3-М21;0;2;3;2;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ3;@свтМ21;;;;;;0;0;;0;;;0; 0x0302;0;
2019;Установка маневровых маршрутов;По светофору М11 за М21;ММ11-М21;0;2;3;3;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ11;@свтМ21;;;;;;0;0;;0;;;0; 0x0303;0;
2020;Установка маневровых маршрутов;По светофору М17 до М29;ММ17-М29;0;2;3;4;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ17;@свтМ29;;;;;;0;0;;0;;;0; 0x0304;0;
2021;Установка маневровых маршрутов;По светофору М19 на 1 путь;ММ19-1П;0;2;3;5;0;0;0;0;0;0;BOLEN;0;31;0;@свтМ19;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0305;0;
2022;Установка маневровых маршрутов;По светофору М19 до М29;ММ19-М29;0;2;3;6;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ19;@свтМ29;;;;;;0;0;;0;;;0; 0x0306;0;
2023;Установка маневровых маршрутов;По светофору М21 за М11;ММ21-М11;0;2;3;7;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ21;@свтМ11;;;;;;0;0;;0;;;0; 0x0307;0;
2024;Установка маневровых маршрутов;По светофору М21 за М3;ММ21-М3;0;2;3;8;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ21;@свтМ3;;;;;;0;0;;0;;;0; 0x0308;0;
2025;Установка маневровых маршрутов;По светофору М29 на 2 путь;ММ29-2П;0;2;3;9;0;0;0;0;0;0;BOLEN;0;32;0;@свтМ29;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0309;0;
2026;Установка маневровых маршрутов;По светофору М29 на 4 путь;ММ29-4П;0;2;3;10;0;0;0;0;0;0;BOLEN;0;34;0;@свтМ29;@свтмЧ4;;;;;;0;0;;0;;;0; 0x030A;0;
2027;Установка маневровых маршрутов;По светофору Ч1 за М3;МЧ1-М3;0;2;3;11;0;0;0;0;0;0;BOLEN;0;0;0;@свтмЧ1;@свтМ3;;;;;;0;0;;0;;;0; 0x030B;0;
2028;Установка маневровых маршрутов;По светофору Ч2 за М3;МЧ2-М3;0;2;3;12;0;0;0;0;0;0;BOLEN;0;0;0;@свтмЧ2;@свтМ3;;;;;;0;0;;0;;;0; 0x030C;0;
2029;Установка маневровых маршрутов;По светофору Ч2 за М17;МЧ2-М17;0;2;3;13;0;0;0;0;0;0;BOLEN;0;0;0;@свтмЧ2;@свтМ17;;;;;;0;0;;0;;;0; 0x030D;0;
2030;Установка маневровых маршрутов;По светофору Ч4 за М3;МЧ4-М3;0;2;3;14;0;0;0;0;0;0;BOLEN;0;0;0;@свтмЧ4;@свтМ3;;;;;;0;0;;0;;;0; 0x030E;0;
2031;Установка маневровых маршрутов;По светофору Ч4 за М17;МЧ4-М17;0;2;3;15;0;0;0;0;0;0;BOLEN;0;0;0;@свтмЧ4;@свтМ17;;;;;;0;0;;0;;;0; 0x030F;0;
2032;Установка маневровых маршрутов;По светофору М4 до НМ1Б;ММ4-НМ1Б;0;2;3;16;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ4;@свтМ22;;;;;;0;0;;0;;;0; 0x0310;0;
2033;Установка маневровых маршрутов;По светофору М10 на 1 путь;ММ10-1П;0;2;3;17;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ10;@свтмНм1;;;;;;0;0;;0;;;0; 0x0311;0;
2034;Установка маневровых маршрутов;По светофору М10 до М16;ММ10-М16;0;2;3;18;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ10;@свтМ16;;;;;;0;0;;0;;;0; 0x0312;0;
2035;Установка маневровых маршрутов;По светофору М10 на 2 путь (+4/6);ММ10-2П;0;2;3;19;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ10;@свтмв;@свтмНм2;;;;;0;0;;0;;;0; 0x0313;0;
2036;Установка маневровых маршрутов;По светофору М10 на 4 путь (+4/6);ММ10-4П;0;2;3;20;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ10;@свтмв;@свтмНм4;;;;;0;0;;0;;;0; 0x0314;0;
2037;Установка маневровых маршрутов;По светофору М12 до ЧМ1А;ММ12-ЧМ1А;0;2;3;21;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ12;@свтмЧм1А;;;;;;0;0;;0;;;0; 0x0315;0;
2038;Установка маневровых маршрутов;По светофору М14 за М10;ММ14-М10;0;2;3;22;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ14;@свтМ10;;;;;;0;0;;0;;;0; 0x0316;0;
2039;Установка маневровых маршрутов;По светофору М16 на 2 путь;ММ16-2П;0;2;3;23;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ16;@свтмНм2;;;;;;0;0;;0;;;0; 0x0317;0;
2040;Установка маневровых маршрутов;По светофору М16 на 4 путь;ММ16-4П;0;2;3;24;0;0;0;0;0;0;BOLEN;0;84;0;@свтМ16;@свтмНм4;;;;;;0;0;;0;;;0; 0x0318;0;
2041;Установка маневровых маршрутов;По светофору М18 до ЧМ1А;ММ18-ЧМ1А;0;2;3;25;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ18;@свтмН1А;;;;;;0;0;;0;;;0; 0x0319;0;
2042;Установка маневровых маршрутов;По светофору М18 за М20;ММ18-М20;0;2;3;26;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ18;@свтМ20;;;;;;0;0;;0;;;0; 0x031A;0;
2043;Установка маневровых маршрутов;По светофору М20 за М18;ММ20-М18;0;2;3;27;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ20;@свтМ18;;;;;;0;0;;0;;;0; 0x031B;0;
2044;Установка маневровых маршрутов;По светофору М22 до ЧМ1Г;ММ22-ЧМ1Г;0;2;3;28;0;0;0;0;0;0;BOLEN;0;0;0;@свтМ22;@свтмЧм1Г;;;;;;0;0;;0;;;0; 0x031C;0;
2045;Установка маневровых маршрутов;По светофору НМ1 до М4;МНМ1-М4;0;2;3;29;0;0;0;0;0;0;BOLEN;0;0;0;@свтмНм1;@свтМ4;;;;;;0;0;;0;;;0; 0x031D;0;
2046;Установка маневровых маршрутов;По светофору НМ1 за М10;МНМ1-М10;0;2;3;30;0;0;0;0;0;0;BOLEN;0;0;0;@свтмНм1;@свтМ10;;;;;;0;0;;0;;;0; 0x031E;0;
2047;Установка маневровых маршрутов;По светофору НМ2 до М4;МНМ2-М4;0;2;3;31;0;0;0;0;0;0;BOLEN;0;0;0;@свтмНм2;@свтМ4;;;;;;0;0;;0;;;0; 0x031F;0;
2048;Установка маневровых маршрутов;По светофору НМ2 до М14;МНМ2-М14;0;2;3;32;0;0;0;0;0;0;BOLEN;0;0;0;@свтмНм2;@свтМ14;;;;;;0;0;;0;;;0; 0x0320;0;
2049;Установка маневровых маршрутов;По светофору НМ2 за М10 (-8/10);МНМ2-М10;0;2;3;33;0;0;0;0;0;0;BOLEN;0;0;0;@свтмНм2;@свтмв;@свтм10;;;;;0;0;;0;;;0; 0x0321;0;
