NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
9001;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;9;1;1;0;0;0;0;0;0;GORIN;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0101;0;
9002;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;9;1;2;0;0;0;0;0;0;GORIN;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0102;0;
9003;Установка поездных маршрутов;Нечетный прием по Н на 3 путь;НП-3П;0;9;1;3;0;0;0;0;0;0;GORIN;41;33;0;@свтН;@свтЧ3;;;;;;0;0;;0;;;0; 0x0103;0;
9004;Установка поездных маршрутов;Нечетный прием по Н на 8 путь;НП-8П;0;9;1;4;0;0;0;0;0;0;GORIN;41;0;0;@свтН;@свтЧ8;;;;;;0;0;;0;;;0; 0x0104;0;
9005;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;9;1;5;0;0;0;0;0;0;GORIN;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0105;0;
9006;Установка поездных маршрутов;Четное отправление по Ч2 с 2 пути;ЧО2П;0;9;1;6;0;0;0;0;0;0;GORIN;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0106;0;
9007;Установка поездных маршрутов;Четное отправление по Ч3 с 3 пути;ЧО3П;0;9;1;7;0;0;0;0;0;0;GORIN;33;41;0;@свтЧ3;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
9008;Установка поездных маршрутов;Четное отправление по Ч8 с 8 пути;ЧО8П;0;9;1;8;0;0;0;0;0;0;GORIN;48;41;0;@свтЧ8;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
9009;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;9;1;9;0;0;0;0;0;0;GORIN;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0109;0;
9010;Установка поездных маршрутов;Четный прием по Ч на 2 путь;ЧП-2П;0;9;1;10;0;0;0;0;0;0;GORIN;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x010A;0;
9011;Установка поездных маршрутов;Четный прием по Ч на 3 путь;ЧП-3П;0;9;1;11;0;0;0;0;0;0;GORIN;11;23;0;@свтЧ;@свтН3;;;;;;0;0;;0;;;0; 0x010B;0;
9012;Установка поездных маршрутов;Четный прием по Ч на 8 путь;ЧП-8П;0;9;1;12;0;0;0;0;0;0;GORIN;11;0;0;@свтЧ;@свтН8;;;;;;0;0;;0;;;0; 0x010C;0;
9013;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;9;1;13;0;0;0;0;0;0;GORIN;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x010D;0;
9014;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;9;1;14;0;0;0;0;0;0;GORIN;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x010E;0;
9015;Установка поездных маршрутов;Нечетное отправление по Н3 с 3 пути;НО3П;0;9;1;15;0;0;0;0;0;0;GORIN;23;11;0;@свтН3;@свтЧ;;;;;;0;0;;0;;;0; 0x010F;0;
9016;Установка поездных маршрутов;Нечетное отправление по Н8 с 8 пути;НО8П;0;9;1;16;0;0;0;0;0;0;GORIN;98;11;0;@свтН8;@свтЧ;;;;;;0;0;;0;;;0; 0x0110;0;
9017;Установка поездных маршрутов;Четный прием по Ч на 2 путь;вЧП-2П;0;9;1;17;0;0;0;0;0;0;GORIN;11;0;22;@свтЧ;@свтМ18;@свтН2;;;;;0;0;;0;;;0; 0x0111;0;
9018;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;вНО2П;0;9;1;18;0;0;0;0;0;0;GORIN;22;11;11;@свтН2;@свтМ16;@свтЧ;;;;;0;0;;0;;;0; 0x0112;0;
9019;Установка маневровых маршрутов;По светофору M1 на участок НАП;ММ1-НАП;0;9;3;1;0;0;0;0;0;0;GORIN;0;0;0;@свтМ1;@свтмН;;;;;;0;0;;0;;;0; 0x0301;0;
9020;Установка маневровых маршрутов;По светофору М3 до М13;MM3-M13;0;9;3;2;0;0;0;0;0;0;GORIN;0;0;0;@свтМ3;@свтМ13;;;;;;0;0;;0;;;0; 0x0302;0;
9021;Установка маневровых маршрутов;По светофору М3 на 2 путь;ММ3-2П;0;9;3;3;0;0;0;0;0;0;GORIN;0;0;0;@свтМ3;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0303;0;
9022;Установка маневровых маршрутов;По светофору М3 на 8 путь;ММ3-8П;0;9;3;4;0;0;0;0;0;0;GORIN;0;0;0;@свтМ3;@свтмЧ8;;;;;;0;0;;0;;;0; 0x0304;0;
9023;Установка маневровых маршрутов;По светофору М5 до М13;ММ5-М13;0;9;3;5;0;0;0;0;0;0;GORIN;0;0;0;@свтМ5;@свтМ13;;;;;;0;0;;0;;;0; 0x0305;0;
9024;Установка маневровых маршрутов;По светофору М5 на 2 путь (+1/3);ММ5-2П;0;9;3;6;0;0;0;0;0;0;GORIN;0;0;0;@свтМ5;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0306;0;
9025;Установка маневровых маршрутов;По светофору М5 на 8 путь (+1/3);ММ5-8П;0;9;3;7;0;0;0;0;0;0;GORIN;0;0;0;@свтМ5;@свтмЧ8;;;;;;0;0;;0;;;0; 0x0307;0;
9026;Установка маневровых маршрутов;По светофору М5 до М11;ММ5-М11;0;9;3;8;0;0;0;0;0;0;GORIN;0;0;0;@свтМ5;@свтМ11;;;;;;0;0;;0;;;0; 0x0308;0;
