NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
35001;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;15;1;1;0;0;0;0;0;0;DJAMKU;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
35002;Установка поездных маршрутов;Четный прием по Ч на 2 путь;ЧП-2П;0;15;1;2;0;0;0;0;0;0;DJAMKU;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0102;0;
35003;Установка поездных маршрутов;Четный прием по Ч на 5 путь;ЧП-5П;0;15;1;3;0;0;0;0;0;0;DJAMKU;11;25;0;@свтЧ;@свтН5;;;;;;0;0;;0;;;0; 0x0103;0;
35004;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;15;1;4;0;0;0;0;0;0;DJAMKU;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0104;0;
35005;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;15;1;5;0;0;0;0;0;0;DJAMKU;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0105;0;
35006;Установка поездных маршрутов;Нечетное отправление по Н5 с 5 пути;НО5П;0;15;1;6;0;0;0;0;0;0;DJAMKU;25;11;0;@свтН5;@свтЧ;;;;;;0;0;;0;;;0; 0x0106;0;
35007;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;15;1;7;0;0;0;0;0;0;DJAMKU;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0107;0;
35008;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;15;1;8;0;0;0;0;0;0;DJAMKU;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0108;0;
35009;Установка поездных маршрутов;Нечетный прием по Н на 5 путь;НП-5П;0;15;1;9;0;0;0;0;0;0;DJAMKU;41;35;0;@свтН;@свтЧ5;;;;;;0;0;;0;;;0; 0x0109;0;
35010;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;15;1;10;0;0;0;0;0;0;DJAMKU;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x010A;0;
