NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
1001;Установка поездных маршрутов;Нечетный прием по Н с 1НП на IАП путь;НП-1НП-IАП;0;1;1;1;0;0;0;0;0;0;DUKI;41;31;0;@свтН;@свтЧ1А;;;;;;0;0;;0;;;0; 0x0101;0;
1002;Установка поездных маршрутов;Нечетный прием по Н с 1НП на 2АП путь;НП-1НП-2АП;0;1;1;2;0;0;0;0;0;0;DUKI;41;32;0;@свтН;@свтЧ2А;;;;;;0;0;;0;;;0; 0x0102;0;
1003;Установка поездных маршрутов;Четное отправление по Ч1А с IАП пути на 1НП;ЧО-IАП-1НП;0;1;1;3;0;0;0;0;0;0;DUKI;31;41;0;@свтЧ1А;@свтН;;;;;;0;0;;0;;;0; 0x0103;0;
1004;Установка поездных маршрутов;Четное отправление по Ч2А с 2АП пути на 1НП;ЧО-2АП-1НП;0;1;1;4;0;0;0;0;0;0;DUKI;32;41;0;@свтЧ2А;@свтН;;;;;;0;0;;0;;;0; 0x0104;0;
1005;Установка поездных маршрутов;Четный прием по Ч с 1ЧП на IП путь;ЧП-1ЧП-IП;0;1;1;5;0;0;0;0;0;0;DUKI;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0105;0;
1006;Установка поездных маршрутов;Четный прием по Ч с 1ЧП на 2П путь;ЧП-1ЧП-2П;0;1;1;6;0;0;0;0;0;0;DUKI;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0106;0;
1007;Установка поездных маршрутов;Нечетное отправление по Н1 с IП пути на 1ЧП;НО-IП-1ЧП;0;1;1;7;0;0;0;0;0;0;DUKI;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0107;0;
1008;Установка поездных маршрутов;Нечетное отправление по Н2 с 2П пути на 1ЧП;НО-2П-1ЧП;0;1;1;8;0;0;0;0;0;0;DUKI;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0108;0;
1009;Установка поездных маршрутов;Передача по НМ1А с IАП пути на IП путь;ПР-IАП-IП;0;1;1;9;0;0;0;0;0;0;DUKI;81;51;0;@свтНм1А;@свтЧм1;;;;;;0;0;;0;;;0; 0x0109;0;
1010;Установка поездных маршрутов;Передача по НМ1А с IАП пути на 2П путь;ПР-IАП-2П;0;1;1;10;0;0;0;0;0;0;DUKI;81;52;0;@свтНм1А;@свтЧм2;;;;;;0;0;;0;;;0; 0x010A;0;
1011;Установка поездных маршрутов;Передача по НМ2А с 2АП пути на IП путь;ПР-2АП-IП;0;1;1;11;0;0;0;0;0;0;DUKI;82;51;0;@свтНм2А;@свтЧм1;;;;;;0;0;;0;;;0; 0x010B;0;
1012;Установка поездных маршрутов;Передача по НМ2А с 2АП пути на 2П путь;ПР-2АП-2П;0;1;1;12;0;0;0;0;0;0;DUKI;82;52;0;@свтНм2А;@свтЧм2;;;;;;0;0;;0;;;0; 0x010C;0;
1013;Установка поездных маршрутов;Передача по ЧМ1 с IП пути на IАП путь;ПР-IП-IАП;0;1;1;13;0;0;0;0;0;0;DUKI;51;81;0;@свтЧм1;@свтНм1А;;;;;;0;0;;0;;;0; 0x010D;0;
1014;Установка поездных маршрутов;Передача по ЧМ1 с IП пути на 2АП путь;ПР-IП-2АП;0;1;1;14;0;0;0;0;0;0;DUKI;51;82;0;@свтЧм1;@свтНм2А;;;;;;0;0;;0;;;0; 0x010E;0;
1015;Установка поездных маршрутов;Передача по ЧМ2 с 2П пути на IАП путь;ПР-2П-IАП;0;1;1;15;0;0;0;0;0;0;DUKI;52;81;0;@свтЧм2;@свтНм1А;;;;;;0;0;;0;;;0; 0x010F;0;
1016;Установка поездных маршрутов;Передача по ЧМ2 с 2П пути на 2АП путь;ПР-2П-2АП;0;1;1;16;0;0;0;0;0;0;DUKI;52;82;0;@свтЧм2;@свтНм2А;;;;;;0;0;;0;;;0; 0x0110;0;
1017;Установка маневровых маршрутов;По светофору М1 на IАП путь;ММ1-IАП;0;1;3;1;0;0;0;0;0;0;DUKI;0;0;0;@свтМ1;@свтмЧ1А;;;;;;0;0;;0;;;0; 0x0301;0;
1018;Установка маневровых маршрутов;По светофору М1 на 2АП путь;ММ1-2АП;0;1;3;2;0;0;0;0;0;0;DUKI;0;0;0;@свтМ1;@свтмЧ2А;;;;;;0;0;;0;;;0; 0x0302;0;
1019;Установка маневровых маршрутов;По светофору НМ1А на IП путь;МНМ1А-IП;0;1;3;3;0;0;0;0;0;0;DUKI;0;0;0;@свтмНм1А;@свтмЧм1;;;;;;0;0;;0;;;0; 0x0303;0;
1020;Установка маневровых маршрутов;По светофору НМ1А на 2П путь;МНМ1А-2П;0;1;3;4;0;0;0;0;0;0;DUKI;0;0;0;@свтмНм1А;@свтмЧм2;;;;;;0;0;;0;;;0; 0x0304;0;
1021;Установка маневровых маршрутов;По светофору НМ2А на IП путь;МНМ2А-IП;0;1;3;5;0;0;0;0;0;0;DUKI;0;0;0;@свтмНм2А;@свтмЧм1;;;;;;0;0;;0;;;0; 0x0305;0;
1022;Установка маневровых маршрутов;По светофору НМ2А на 2П путь;МНМ2А-2П;0;1;3;6;0;0;0;0;0;0;DUKI;0;0;0;@свтмНм2А;@свтмЧм2;;;;;;0;0;;0;;;0; 0x0306;0;
1023;Установка маневровых маршрутов;По светофору Н1 за светофор М2;МН1-М2;0;1;3;7;0;0;0;0;0;0;DUKI;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x0307;0;
1024;Установка маневровых маршрутов;По светофору Н1 за светофор М4;МН1-М4;0;1;3;8;0;0;0;0;0;0;DUKI;0;0;0;@свтмН1;@свтМ4;;;;;;0;0;;0;;;0; 0x0308;0;
1025;Установка маневровых маршрутов;По светофору Н2 за светофор М2;МН2-М2;0;1;3;9;0;0;0;0;0;0;DUKI;0;0;0;@свтмН2;@свтМ2;;;;;;0;0;;0;;;0; 0x0309;0;
1026;Установка маневровых маршрутов;По светофору Н2 за светофор М4;МН2-М4;0;1;3;10;0;0;0;0;0;0;DUKI;0;0;0;@свтмН2;@свтМ4;;;;;;0;0;;0;;;0; 0x030A;0;
1027;Установка маневровых маршрутов;По светофору М2 на IП путь;ММ2-IП;0;1;3;11;0;0;0;0;0;0;DUKI;0;0;0;@свтМ2;@свтмН1;;;;;;0;0;;0;;;0; 0x030B;0;
1028;Установка маневровых маршрутов;По светофору М2 на 2П путь;ММ2-2П;0;1;3;12;0;0;0;0;0;0;DUKI;0;0;0;@свтМ2;@свтмН2;;;;;;0;0;;0;;;0; 0x030C;0;
1029;Установка маневровых маршрутов;По светофору М4 на IП путь;ММ4-IП;0;1;3;13;0;0;0;0;0;0;DUKI;0;0;0;@свтМ4;@свтмН1;;;;;;0;0;;0;;;0; 0x030D;0;
1030;Установка маневровых маршрутов;По светофору М4 на 2П путь;ММ4-2П;0;1;3;14;0;0;0;0;0;0;DUKI;0;0;0;@свтМ4;@свтмН2;;;;;;0;0;;0;;;0; 0x030E;0;
1031;Установка маневровых маршрутов;По светофору ЧМ1 на IАП путь;МЧМ1-IАП;0;1;3;15;0;0;0;0;0;0;DUKI;0;0;0;@свтмЧм1;@свтмНм1А;;;;;;0;0;;0;;;0; 0x030F;0;
1032;Установка маневровых маршрутов;По светофору ЧМ1 на 2АП путь;МЧМ1-2АП;0;1;3;16;0;0;0;0;0;0;DUKI;0;0;0;@свтмЧм1;@свтмНм2А;;;;;;0;0;;0;;;0; 0x0310;0;
1033;Установка маневровых маршрутов;По светофору ЧМ2 на IАП путь;МЧМ2-IАП;0;1;3;17;0;0;0;0;0;0;DUKI;0;0;0;@свтмЧм2;@свтмНм1А;;;;;;0;0;;0;;;0; 0x0311;0;
1034;Установка маневровых маршрутов;По светофору ЧМ2 на 2АП путь;МЧМ2-2АП;0;1;3;18;0;0;0;0;0;0;DUKI;0;0;0;@свтмЧм2;@свтмНм2А;;;;;;0;0;;0;;;0; 0x0312;0;
1035;Установка маневровых маршрутов;По светофору Ч1А за светофор М1;МЧ1А-М1;0;1;3;19;0;0;0;0;0;0;DUKI;0;0;0;@свтмЧ1А;@свтМ1;;;;;;0;0;;0;;;0; 0x0313;0;
1036;Установка маневровых маршрутов;По светофору Ч2А за светофор М1;МЧ2А-М1;0;1;3;20;0;0;0;0;0;0;DUKI;0;0;0;@свтмЧ2А;@свтМ1;;;;;;0;0;;0;;;0; 0x0314;0;
1037;Установка поездных маршрутов в замкнутом маршруте;По светофору Н;ВУПН;0;1;1;17;0;0;0;0;0;0;DUKI;1007;41;0;;@свтН;;;_USTR(Н->Миг-е=1);_USTR(Н->Миг-е=0);;0;0;;0;;;0; 0x0111;0;
1038;Установка поездных маршрутов в замкнутом маршруте;По светофору Ч1А;ВУПЧ1А;0;1;1;18;0;0;0;0;0;0;DUKI;1007;31;0;;@свтЧ1А;;;_USTR(Ч1А->Миг-е=1);_USTR(Ч1А->Миг-е=0);;0;0;;0;;;0; 0x0112;0;
1039;Установка поездных маршрутов в замкнутом маршруте;По светофору Ч2А;ВУПЧ2А;0;1;1;19;0;0;0;0;0;0;DUKI;1007;32;0;;@свтЧ2А;;;_USTR(Ч2А->Миг-е=1);_USTR(Ч2А->Миг-е=0);;0;0;;0;;;0; 0x0113;0;
1040;Установка поездных маршрутов в замкнутом маршруте;По светофору Ч;ВУПЧ;0;1;1;20;0;0;0;0;0;0;DUKI;1007;11;0;;@свтЧ;;;_USTR(Ч->Миг-е=1);_USTR(Ч->Миг-е=0);;0;0;;0;;;0; 0x0114;0;
1041;Установка поездных маршрутов в замкнутом маршруте;По светофору Н1;ВУПН1;0;1;1;21;0;0;0;0;0;0;DUKI;1007;21;0;;@свтН1;;;_USTR(Н1->Миг-е=1);_USTR(Н1->Миг-е=0);;0;0;;0;;;0; 0x0115;0;
1042;Установка поездных маршрутов в замкнутом маршруте;По светофору Н2;ВУПН2;0;1;1;22;0;0;0;0;0;0;DUKI;1007;22;0;;@свтН2;;;_USTR(Н2->Миг-е=1);_USTR(Н2->Миг-е=0);;0;0;;0;;;0; 0x0116;0;
1043;Установка поездных маршрутов в замкнутом маршруте;По светофору НМ1А;ВУПНМ1А;0;1;1;23;0;0;0;0;0;0;DUKI;1007;81;0;;@свтНм1А;;;_USTR(Нм1А->Миг-е=1);_USTR(Нм1А->Миг-е=0);;0;0;;0;;;0; 0x0117;0;
1044;Установка поездных маршрутов в замкнутом маршруте;По светофору НМ2А;ВУПНМ2А;0;1;1;24;0;0;0;0;0;0;DUKI;1007;82;0;;@свтНм2А;;;_USTR(Нм2А->Миг-е=1);_USTR(Нм2А->Миг-е=0);;0;0;;0;;;0; 0x0118;0;
1045;Установка поездных маршрутов в замкнутом маршруте;По светофору ЧМ1;ВУПЧМ1;0;1;1;25;0;0;0;0;0;0;DUKI;1007;51;0;;@свтЧм1;;;_USTR(Чм1->Миг-е=1);_USTR(Чм1->Миг-е=0);;0;0;;0;;;0; 0x0119;0;
1046;Установка поездных маршрутов в замкнутом маршруте;По светофору ЧМ2;ВУПЧМ2;0;1;1;26;0;0;0;0;0;0;DUKI;1007;52;0;;@свтЧм2;;;_USTR(Чм2->Миг-е=1);_USTR(Чм2->Миг-е=0);;0;0;;0;;;0; 0x011A;0;
1047;Установка маневровых маршрутов в замкнутом маршруте;По светофору М1;ВУММ1;0;1;3;21;0;0;0;0;0;0;DUKI;1008;0;0;;@свтМ1;;;_USTR(М1->Миг-е=1);_USTR(М1->Миг-е=0);;0;0;;0;;;0; 0x0315;0;
1048;Установка маневровых маршрутов в замкнутом маршруте;По светофору НМ1А;ВУМНМ1А;0;1;3;22;0;0;0;0;0;0;DUKI;1008;0;0;;@свтмНм1А;;;_USTR(мНм1А->Миг-е=1);_USTR(мНм1А->Миг-е=0);;0;0;;0;;;0; 0x0316;0;
1049;Установка маневровых маршрутов в замкнутом маршруте;По светофору НМ2А;ВУМНМ2А;0;1;3;23;0;0;0;0;0;0;DUKI;1008;0;0;;@свтмНм2А;;;_USTR(мНм2А->Миг-е=1);_USTR(мНм2А->Миг-е=0);;0;0;;0;;;0; 0x0317;0;
1050;Установка маневровых маршрутов в замкнутом маршруте;По светофору Н1;ВУМН1;0;1;3;24;0;0;0;0;0;0;DUKI;1008;0;0;;@свтмН1;;;_USTR(мН1->Миг-е=1);_USTR(мН1->Миг-е=0);;0;0;;0;;;0; 0x0318;0;
1051;Установка маневровых маршрутов в замкнутом маршруте;По светофору Н2;ВУМН2;0;1;3;25;0;0;0;0;0;0;DUKI;1008;0;0;;@свтмН2;;;_USTR(мН2->Миг-е=1);_USTR(мН2->Миг-е=0);;0;0;;0;;;0; 0x0319;0;
