NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
7001;Установка поездных маршрутов;Нечетный прием по Н с НГП на IАП путь;НП-НГП-IАП;0;7;1;1;0;0;0;0;0;0;ZABOLOT;41;31;0;@свтН;@свтЧ1А;;;;;;0;0;;0;;;0; 0x0101;0;
7002;Установка поездных маршрутов;Нечетный прием по Н с НГП на IIАП путь;НП-НГП-IIАП;0;7;1;2;0;0;0;0;0;0;ZABOLOT;41;32;0;@свтН;@свтЧ2А;;;;;;0;0;;0;;;0; 0x0102;0;
7003;Установка поездных маршрутов;Четное отправление по Ч1А с IАП пути на НГП;ЧО-IАП-НГП;0;7;1;3;0;0;0;0;0;0;ZABOLOT;31;41;0;@свтЧ1А;@свтН;;;;;;0;0;;0;;;0; 0x0103;0;
7004;Установка поездных маршрутов;Четное отправление по Ч2А с IIАП пути на НГП;ЧО-IIАП-НГП;0;7;1;4;0;0;0;0;0;0;ZABOLOT;32;41;0;@свтЧ2А;@свтН;;;;;;0;0;;0;;;0; 0x0104;0;
7005;Установка поездных маршрутов;Четный прием по Ч c ЧГП на IП путь;ЧП-ЧГП-IП;0;7;1;5;0;0;0;0;0;0;ZABOLOT;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0105;0;
7006;Установка поездных маршрутов;Четный прием по Ч c ЧГП на IIП путь;ЧП-ЧГП-IIП;0;7;1;6;0;0;0;0;0;0;ZABOLOT;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0106;0;
7007;Установка поездных маршрутов;Нечетное отправление по Н1 с IП пути на ЧГП;НО-IП-ЧГП;0;7;1;7;0;0;0;0;0;0;ZABOLOT;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0107;0;
7008;Установка поездных маршрутов;Нечетное отправление по Н2 с IIП пути на ЧГП;НО-IIП-ЧГП;0;7;1;8;0;0;0;0;0;0;ZABOLOT;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0108;0;
7009;Установка поездных маршрутов;Передача по НМ1А с IАП пути на IП путь;ПР-IАП-IП;0;7;1;9;0;0;0;0;0;0;ZABOLOT;81;51;0;@свтНм1А;@свтЧм1;;;;;;0;0;;0;;;0; 0x0109;0;
7010;Установка поездных маршрутов;Передача по НМ1А с IАП пути на IIП путь;ПР-IАП-IIП;0;7;1;10;0;0;0;0;0;0;ZABOLOT;81;52;0;@свтНм1А;@свтЧм2;;;;;;0;0;;0;;;0; 0x010A;0;
7011;Установка поездных маршрутов;Передача по НМ2А с IIАП пути на IIП путь;ПР-IIАП-IIП;0;7;1;11;0;0;0;0;0;0;ZABOLOT;82;52;0;@свтНм2А;@свтЧм2;;;;;;0;0;;0;;;0; 0x010B;0;
7012;Установка поездных маршрутов;Передача по ЧМ1 с IП пути на IАП путь;ПР-IП-IАП;0;7;1;12;0;0;0;0;0;0;ZABOLOT;51;81;0;@свтЧм1;@свтНм1А;;;;;;0;0;;0;;;0; 0x010C;0;
7013;Установка поездных маршрутов;Передача по ЧМ2 с IIП пути на IIАП путь;ПР-IIП-IIАП;0;7;1;13;0;0;0;0;0;0;ZABOLOT;52;82;0;@свтЧм2;@свтНм2А;;;;;;0;0;;0;;;0; 0x010D;0;
7014;Установка поездных маршрутов;Передача по ЧМ2 с IIП пути на IАП путь;ПР-IIП-IАП;0;7;1;14;0;0;0;0;0;0;ZABOLOT;52;81;0;@свтЧм2;@свтНм1А;;;;;;0;0;;0;;;0; 0x010E;0;
7015;Установка маневровых маршрутов;По светофору М1 на IАП путь;ММ1-IАП;0;7;3;1;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтМ1;@свтмЧ1А;;;;;;0;0;;0;;;0; 0x0301;0;
7016;Установка маневровых маршрутов;По светофору М1 на IIАП путь;ММ1-IIАП;0;7;3;2;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтМ1;@свтмЧ2А;;;;;;0;0;;0;;;0; 0x0302;0;
7017;Установка маневровых маршрутов;По светофору М3 на IIП путь;ММ3-IIП;0;7;3;3;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтМ3;@свтмЧм2;;;;;;0;0;;0;;;0; 0x0303;0;
7018;Установка маневровых маршрутов;По светофору Н1 за светофор М2;МН1-М2;0;7;3;4;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x0304;0;
7019;Установка маневровых маршрутов;По светофору Н2 за светофор М2;МН2-М2;0;7;3;5;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтмН2;@свтМ2;;;;;;0;0;;0;;;0; 0x0305;0;
7020;Установка маневровых маршрутов;По светофору НМ1А на IП путь;МНМ1А-IП;0;7;3;6;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтмНм1А;@свтмЧм1;;;;;;0;0;;0;;;0; 0x0306;0;
7021;Установка маневровых маршрутов;По светофору НМ1А на IIП путь;МНМ1А-IIП;0;7;3;7;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтмНм1А;@свтмЧм2;;;;;;0;0;;0;;;0; 0x0307;0;
7022;Установка маневровых маршрутов;По светофору НМ2А на IIП путь;МНМ2А-IIП;0;7;3;8;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтмНм2А;@свтмЧм2;;;;;;0;0;;0;;;0; 0x0308;0;
7023;Установка маневровых маршрутов;По светофору М2 на IП путь;ММ2-IП;0;7;3;9;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтМ2;@свтмН1;;;;;;0;0;;0;;;0; 0x0309;0;
7024;Установка маневровых маршрутов;По светофору М2 на IIП путь;ММ2-IIП;0;7;3;10;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтМ2;@свтмН2;;;;;;0;0;;0;;;0; 0x030A;0;
7025;Установка маневровых маршрутов;По светофору Ч1А за светофор М1;МЧ1А-М1;0;7;3;11;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтмЧ1А;@свтМ1;;;;;;0;0;;0;;;0; 0x030B;0;
7026;Установка маневровых маршрутов;По светофору Ч2А за светофор М1;МЧ2А-М1;0;7;3;12;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтмЧ2А;@свтМ1;;;;;;0;0;;0;;;0; 0x030C;0;
7027;Установка маневровых маршрутов;По светофору ЧМ1 на IАП путь;МЧМ1-IАП;0;7;3;13;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтмЧм1;@свтмНм1А;;;;;;0;0;;0;;;0; 0x030D;0;
7028;Установка маневровых маршрутов;По светофору ЧМ2 на IАП путь;МЧМ2-IАП;0;7;3;14;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтмЧм2;@свтмНм1А;;;;;;0;0;;0;;;0; 0x030E;0;
7029;Установка маневровых маршрутов;По светофору ЧМ2 на IIАП путь;МЧМ2-IАП;0;7;3;15;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтмЧм2;@свтмНм2А;;;;;;0;0;;0;;;0; 0x030F;0;
7030;Установка маневровых маршрутов;По светофору ЧМ2 за светофор М3;МЧМ2-М3;0;7;3;16;0;0;0;0;0;0;ZABOLOT;0;0;0;@свтмЧм2;@свтМ3;;;;;;0;0;;0;;;0; 0x0310;0;
7031;Установка поездных маршрутов в замкнутом маршруте;По светофору Н;ВУПН;0;7;1;15;0;0;0;0;0;0;ZABOLOT;1007;41;0;;@свтН;;;_USTR(Н->Миг-е=1);_USTR(Н->Миг-е=0);;0;0;;0;;;0; 0x010F;0;
7032;Установка поездных маршрутов в замкнутом маршруте;По светофору Ч1А;ВУПЧ1А;0;7;1;16;0;0;0;0;0;0;ZABOLOT;1007;31;0;;@свтЧ1А;;;_USTR(Ч1А->Миг-е=1);_USTR(Ч1А->Миг-е=0);;0;0;;0;;;0; 0x0110;0;
7033;Установка поездных маршрутов в замкнутом маршруте;По светофору Ч2А;ВУПЧ2А;0;7;1;17;0;0;0;0;0;0;ZABOLOT;1007;32;0;;@свтЧ2А;;;_USTR(Ч2А->Миг-е=1);_USTR(Ч2А->Миг-е=0);;0;0;;0;;;0; 0x0111;0;
7034;Установка поездных маршрутов в замкнутом маршруте;По светофору Ч;ВУПЧ;0;7;1;18;0;0;0;0;0;0;ZABOLOT;1007;11;0;;@свтЧ;;;_USTR(Ч->Миг-е=1);_USTR(Ч->Миг-е=0);;0;0;;0;;;0; 0x0112;0;
7035;Установка поездных маршрутов в замкнутом маршруте;По светофору Н1;ВУПН1;0;7;1;19;0;0;0;0;0;0;ZABOLOT;1007;21;0;;@свтН1;;;_USTR(Н1->Миг-е=1);_USTR(Н1->Миг-е=0);;0;0;;0;;;0; 0x0113;0;
7036;Установка поездных маршрутов в замкнутом маршруте;По светофору Н2;ВУПН2;0;7;1;20;0;0;0;0;0;0;ZABOLOT;1007;22;0;;@свтН2;;;_USTR(Н2->Миг-е=1);_USTR(Н2->Миг-е=0);;0;0;;0;;;0; 0x0114;0;
7037;Установка поездных маршрутов в замкнутом маршруте;По светофору НМ1А;ВУПНМ1А;0;7;1;21;0;0;0;0;0;0;ZABOLOT;1007;81;0;;@свтНм1А;;;_USTR(Нм1А->Миг-е=1);_USTR(Нм1А->Миг-е=0);;0;0;;0;;;0; 0x0115;0;
7038;Установка поездных маршрутов в замкнутом маршруте;По светофору НМ2А;ВУПНМ2А;0;7;1;22;0;0;0;0;0;0;ZABOLOT;1007;82;0;;@свтНм2А;;;_USTR(Нм2А->Миг-е=1);_USTR(Нм2А->Миг-е=0);;0;0;;0;;;0; 0x0116;0;
7039;Установка поездных маршрутов в замкнутом маршруте;По светофору ЧМ1;ВУПЧМ1;0;7;1;23;0;0;0;0;0;0;ZABOLOT;1007;51;0;;@свтЧм1;;;_USTR(Чм1->Миг-е=1);_USTR(Чм1->Миг-е=0);;0;0;;0;;;0; 0x0117;0;
7040;Установка поездных маршрутов в замкнутом маршруте;По светофору ЧМ2;ВУПЧМ2;0;7;1;24;0;0;0;0;0;0;ZABOLOT;1007;52;0;;@свтЧм2;;;_USTR(Чм2->Миг-е=1);_USTR(Чм2->Миг-е=0);;0;0;;0;;;0; 0x0118;0;
7041;Установка маневровых маршрутов в замкнутом маршруте;По светофору М1;ВУММ1;0;7;3;17;0;0;0;0;0;0;ZABOLOT;1008;0;0;;@свтМ1;;;_USTR(М1->Миг-е=1);_USTR(М1->Миг-е=0);;0;0;;0;;;0; 0x0311;0;
7042;Установка маневровых маршрутов в замкнутом маршруте;По светофору М3;ВУММ3;0;7;3;18;0;0;0;0;0;0;ZABOLOT;1008;0;0;;@свтМ3;;;_USTR(М3->Миг-е=1);_USTR(М3->Миг-е=0);;0;0;;0;;;0; 0x0312;0;
7043;Установка маневровых маршрутов в замкнутом маршруте;По светофору Н1;ВУМН1;0;7;3;19;0;0;0;0;0;0;ZABOLOT;1008;0;0;;@свтмН1;;;_USTR(мН1->Миг-е=1);_USTR(мН1->Миг-е=0);;0;0;;0;;;0; 0x0313;0;
7044;Установка маневровых маршрутов в замкнутом маршруте;По светофору Н2;ВУМН2;0;7;3;20;0;0;0;0;0;0;ZABOLOT;1008;0;0;;@свтмН2;;;_USTR(мН2->Миг-е=1);_USTR(мН2->Миг-е=0);;0;0;;0;;;0; 0x0314;0;
7045;Установка маневровых маршрутов в замкнутом маршруте;По светофору НМ1А;ВУМНМ1А;0;7;3;21;0;0;0;0;0;0;ZABOLOT;1008;0;0;;@свтмНм1А;;;_USTR(мНм1А->Миг-е=1);_USTR(мНм1А->Миг-е=0);;0;0;;0;;;0; 0x0315;0;
7046;Установка маневровых маршрутов в замкнутом маршруте;По светофору НМ2А;ВУМНМ2А;0;7;3;22;0;0;0;0;0;0;ZABOLOT;1008;0;0;;@свтмНм2А;;;_USTR(мНм2А->Миг-е=1);_USTR(мНм2А->Миг-е=0);;0;0;;0;;;0; 0x0316;0;
7047;Установка маневровых маршрутов в замкнутом маршруте;По светофору М2;ВУММ2;0;7;3;23;0;0;0;0;0;0;ZABOLOT;1008;0;0;;@свтМ2;;;_USTR(М2->Миг-е=1);_USTR(М2->Миг-е=0);;0;0;;0;;;0; 0x0317;0;
7048;Установка маневровых маршрутов в замкнутом маршруте;По светофору Ч1А;ВУМЧ1А;0;7;3;24;0;0;0;0;0;0;ZABOLOT;1008;0;0;;@свтмЧ1А;;;_USTR(мЧ1А->Миг-е=1);_USTR(мЧ1А->Миг-е=0);;0;0;;0;;;0; 0x0318;0;
7049;Установка маневровых маршрутов в замкнутом маршруте;По светофору Ч2А;ВУМЧ2А;0;7;3;25;0;0;0;0;0;0;ZABOLOT;1008;0;0;;@свтмЧ2А;;;_USTR(мЧ2А->Миг-е=1);_USTR(мЧ2А->Миг-е=0);;0;0;;0;;;0; 0x0319;0;
7050;Установка маневровых маршрутов в замкнутом маршруте;По светофору ЧМ1;ВУМЧМ1;0;7;3;26;0;0;0;0;0;0;ZABOLOT;1008;0;0;;@свтмЧм1;;;_USTR(мЧм1->Миг-е=1);_USTR(мЧм1->Миг-е=0);;0;0;;0;;;0; 0x031A;0;
7051;Установка маневровых маршрутов в замкнутом маршруте;По светофору ЧМ2;ВУМЧМ2;0;7;3;27;0;0;0;0;0;0;ZABOLOT;1008;0;0;;@свтмЧм2;;;_USTR(мЧм2->Миг-е=1);_USTR(мЧм2->Миг-е=0);;0;0;;0;;;0; 0x031B;0;
7052;Отмена поездных маршрутов;По светофору Н;ОПН;0;7;2;1;0;0;0;0;0;0;ZABOLOT;12909;41;0;;@свтН;;;_USTR(Н->Миг-е=1);_USTR(Н->Миг-е=0);;0;0;;0;;;0; 0x0201;0;
7053;Отмена поездных маршрутов;По светофору Ч1А;ОПЧ1А;0;7;2;2;0;0;0;0;0;0;ZABOLOT;12909;31;0;;@свтЧ1А;;;_USTR(Ч1А->Миг-е=1);_USTR(Ч1А->Миг-е=0);;0;0;;0;;;0; 0x0202;0;
7054;Отмена поездных маршрутов;По светофору Ч2А;ОПЧ2А;0;7;2;3;0;0;0;0;0;0;ZABOLOT;12909;32;0;;@свтЧ2А;;;_USTR(Ч2А->Миг-е=1);_USTR(Ч2А->Миг-е=0);;0;0;;0;;;0; 0x0203;0;
7055;Отмена поездных маршрутов;По светофору Ч;ОПЧ;0;7;2;4;0;0;0;0;0;0;ZABOLOT;12909;11;0;;@свтЧ;;;_USTR(Ч->Миг-е=1);_USTR(Ч->Миг-е=0);;0;0;;0;;;0; 0x0204;0;
7056;Отмена поездных маршрутов;По светофору Н1;ОПН1;0;7;2;5;0;0;0;0;0;0;ZABOLOT;12909;21;0;;@свтН1;;;_USTR(Н1->Миг-е=1);_USTR(Н1->Миг-е=0);;0;0;;0;;;0; 0x0205;0;
7057;Отмена поездных маршрутов;По светофору Н2;ОПН2;0;7;2;6;0;0;0;0;0;0;ZABOLOT;12909;22;0;;@свтН2;;;_USTR(Н2->Миг-е=1);_USTR(Н2->Миг-е=0);;0;0;;0;;;0; 0x0206;0;
7058;Отмена поездных маршрутов;По светофору НМ1А;ОПНМ1А;0;7;2;7;0;0;0;0;0;0;ZABOLOT;12909;81;0;;@свтНм1А;;;_USTR(Нм1А->Миг-е=1);_USTR(Нм1А->Миг-е=0);;0;0;;0;;;0; 0x0207;0;
7059;Отмена поездных маршрутов;По светофору НМ2А;ОПНМ2А;0;7;2;8;0;0;0;0;0;0;ZABOLOT;12909;82;0;;@свтНм2А;;;_USTR(Нм2А->Миг-е=1);_USTR(Нм2А->Миг-е=0);;0;0;;0;;;0; 0x0208;0;
7060;Отмена поездных маршрутов;По светофору ЧМ1;ОПЧМ1;0;7;2;9;0;0;0;0;0;0;ZABOLOT;12909;51;0;;@свтЧм1;;;_USTR(Чм1->Миг-е=1);_USTR(Чм1->Миг-е=0);;0;0;;0;;;0; 0x0209;0;
7061;Отмена поездных маршрутов;По светофору ЧМ2;ОПЧМ2;0;7;2;10;0;0;0;0;0;0;ZABOLOT;12909;52;0;;@свтЧм2;;;_USTR(Чм2->Миг-е=1);_USTR(Чм2->Миг-е=0);;0;0;;0;;;0; 0x020A;0;
7062;Отмена маневровых маршрутов;По светофору М1;ОММ1;0;7;4;1;0;0;0;0;0;0;ZABOLOT;9;0;0;;@свтМ1;;;_USTR(М1->Миг-е=1);_USTR(М1->Миг-е=0);;0;0;;0;;;0; 0x0401;0;
7063;Отмена маневровых маршрутов;По светофору М3;ОММ3;0;7;4;2;0;0;0;0;0;0;ZABOLOT;9;0;0;;@свтМ3;;;_USTR(М3->Миг-е=1);_USTR(М3->Миг-е=0);;0;0;;0;;;0; 0x0402;0;
7064;Отмена маневровых маршрутов;По светофору Н1;ОМН1;0;7;4;3;0;0;0;0;0;0;ZABOLOT;9;0;0;;@свтмН1;;;_USTR(мН1->Миг-е=1);_USTR(мН1->Миг-е=0);;0;0;;0;;;0; 0x0403;0;
7065;Отмена маневровых маршрутов;По светофору Н2;ОМН2;0;7;4;4;0;0;0;0;0;0;ZABOLOT;9;0;0;;@свтмН2;;;_USTR(мН2->Миг-е=1);_USTR(мН2->Миг-е=0);;0;0;;0;;;0; 0x0404;0;
7066;Отмена маневровых маршрутов;По светофору НМ1А;ОМНМ1А;0;7;4;5;0;0;0;0;0;0;ZABOLOT;9;0;0;;@свтмНм1А;;;_USTR(мНм1А->Миг-е=1);_USTR(мНм1А->Миг-е=0);;0;0;;0;;;0; 0x0405;0;
7067;Отмена маневровых маршрутов;По светофору НМ2А;ОМНМ2А;0;7;4;6;0;0;0;0;0;0;ZABOLOT;9;0;0;;@свтмНм2А;;;_USTR(мНм2А->Миг-е=1);_USTR(мНм2А->Миг-е=0);;0;0;;0;;;0; 0x0406;0;
7068;Отмена маневровых маршрутов;По светофору М2;ОММ2;0;7;4;7;0;0;0;0;0;0;ZABOLOT;9;0;0;;@свтМ2;;;_USTR(М2->Миг-е=1);_USTR(М2->Миг-е=0);;0;0;;0;;;0; 0x0407;0;
7069;Отмена маневровых маршрутов;По светофору Ч1А;ОМЧ1А;0;7;4;8;0;0;0;0;0;0;ZABOLOT;9;0;0;;@свтмЧ1А;;;_USTR(мЧ1А->Миг-е=1);_USTR(мЧ1А->Миг-е=0);;0;0;;0;;;0; 0x0408;0;
7070;Отмена маневровых маршрутов;По светофору Ч2А;ОМЧ2А;0;7;4;9;0;0;0;0;0;0;ZABOLOT;9;0;0;;@свтмЧ2А;;;_USTR(мЧ2А->Миг-е=1);_USTR(мЧ2А->Миг-е=0);;0;0;;0;;;0; 0x0409;0;
7071;Отмена маневровых маршрутов;По светофору ЧМ1;ОМЧМ1;0;7;4;10;0;0;0;0;0;0;ZABOLOT;9;0;0;;@свтмЧм1;;;_USTR(мЧм1->Миг-е=1);_USTR(мЧм1->Миг-е=0);;0;0;;0;;;0; 0x040A;0;
7072;Отмена маневровых маршрутов;По светофору ЧМ2;ОМЧМ2;0;7;4;11;0;0;0;0;0;0;ZABOLOT;9;0;0;;@свтмЧм2;;;_USTR(мЧм2->Миг-е=1);_USTR(мЧм2->Миг-е=0);;0;0;;0;;;0; 0x040B;0;
7073;Перекрытие светофоров с поездным показанием;Перекрытие по светофору Ч1А;ПСППЧ1А;0;7;9;1;0;0;0;0;0;0;ZABOLOT;12910;31;0;;@свтЧ1А;;;_USTR(Ч1А->Миг-е=1);_USTR(Ч1А->Миг-е=0);;0;0;;0;;;0; 0x0901;0;
7074;Перекрытие светофоров с поездным показанием;Перекрытие по светофору Ч2А;ПСППЧ2А;0;7;9;2;0;0;0;0;0;0;ZABOLOT;12910;32;0;;@свтЧ2А;;;_USTR(Ч2А->Миг-е=1);_USTR(Ч2А->Миг-е=0);;0;0;;0;;;0; 0x0902;0;
7075;Перекрытие светофоров с поездным показанием;Перекрытие по светофору Н;ПСППН;0;7;9;3;0;0;0;0;0;0;ZABOLOT;12910;41;0;;@свтН;;;_USTR(Н->Миг-е=1);_USTR(Н->Миг-е=0);;0;0;;0;;;0; 0x0903;0;
7076;Перекрытие светофоров с поездным показанием;Перекрытие по светофору Н1;ПСППН1;0;7;9;4;0;0;0;0;0;0;ZABOLOT;12910;21;0;;@свтН1;;;_USTR(Н1->Миг-е=1);_USTR(Н1->Миг-е=0);;0;0;;0;;;0; 0x0904;0;
7077;Перекрытие светофоров с поездным показанием;Перекрытие по светофору Н2;ПСППН2;0;7;9;5;0;0;0;0;0;0;ZABOLOT;12910;22;0;;@свтН2;;;_USTR(Н2->Миг-е=1);_USTR(Н2->Миг-е=0);;0;0;;0;;;0; 0x0905;0;
7078;Перекрытие светофоров с поездным показанием;Перекрытие по светофору Ч;ПСППЧ;0;7;9;6;0;0;0;0;0;0;ZABOLOT;12910;11;0;;@свтЧ;;;_USTR(Ч->Миг-е=1);_USTR(Ч->Миг-е=0);;0;0;;0;;;0; 0x0906;0;
7079;Перекрытие светофоров с поездным показанием;Перекрытие по светофору ЧМ1;ПСППЧМ1;0;7;9;7;0;0;0;0;0;0;ZABOLOT;12910;51;0;;@свтЧм1;;;_USTR(Чм1->Миг-е=1);_USTR(Чм1->Миг-е=0);;0;0;;0;;;0; 0x0907;0;
7080;Перекрытие светофоров с поездным показанием;Перекрытие по светофору ЧМ2;ПСППЧМ2;0;7;9;8;0;0;0;0;0;0;ZABOLOT;12910;52;0;;@свтЧм2;;;_USTR(Чм2->Миг-е=1);_USTR(Чм2->Миг-е=0);;0;0;;0;;;0; 0x0908;0;
7081;Перекрытие светофоров с поездным показанием;Перекрытие по светофору НМ1А;ПСППНМ1А;0;7;9;9;0;0;0;0;0;0;ZABOLOT;12910;81;0;;@свтНм1А;;;_USTR(Нм1А->Миг-е=1);_USTR(Нм1А->Миг-е=0);;0;0;;0;;;0; 0x0909;0;
7082;Перекрытие светофоров с поездным показанием;Перекрытие по светофору НМ2А;ПСППНМ2А;0;7;9;10;0;0;0;0;0;0;ZABOLOT;12910;82;0;;@свтНм2А;;;_USTR(Нм2А->Миг-е=1);_USTR(Нм2А->Миг-е=0);;0;0;;0;;;0; 0x090A;0;
7083;Перекрытие светофоров с маневровым показанием;Перекрытие по светофору Ч1А;ПСМПЧ1А;0;7;10;1;0;0;0;0;0;0;ZABOLOT;12911;0;0;;@свтмЧ1А;;;_USTR(мЧ1А->Миг-е=1);_USTR(мЧ1А->Миг-е=0);;0;0;;0;;;0; 0x0A01;0;
7084;Перекрытие светофоров с маневровым показанием;Перекрытие по светофору Ч2А;ПСМПЧ2А;0;7;10;2;0;0;0;0;0;0;ZABOLOT;12911;0;0;;@свтмЧ2А;;;_USTR(мЧ2А->Миг-е=1);_USTR(мЧ2А->Миг-е=0);;0;0;;0;;;0; 0x0A02;0;
7085;Перекрытие светофоров с маневровым показанием;Перекрытие по светофору М2;ПСМПМ2;0;7;10;3;0;0;0;0;0;0;ZABOLOT;12911;0;0;;@свтМ2;;;_USTR(М2->Миг-е=1);_USTR(М2->Миг-е=0);;0;0;;0;;;0; 0x0A03;0;
7086;Перекрытие светофоров с маневровым показанием;Перекрытие по светофору ЧМ1;ПСМПЧМ1;0;7;10;4;0;0;0;0;0;0;ZABOLOT;12911;0;0;;@свтмЧм1;;;_USTR(мЧм1->Миг-е=1);_USTR(мЧм1->Миг-е=0);;0;0;;0;;;0; 0x0A04;0;
7087;Перекрытие светофоров с маневровым показанием;Перекрытие по светофору ЧМ2;ПСМПЧМ2;0;7;10;5;0;0;0;0;0;0;ZABOLOT;12911;0;0;;@свтмЧм2;;;_USTR(мЧм2->Миг-е=1);_USTR(мЧм2->Миг-е=0);;0;0;;0;;;0; 0x0A05;0;
7088;Перекрытие светофоров с маневровым показанием;Перекрытие по светофору Н1;ПСМПН1;0;7;10;6;0;0;0;0;0;0;ZABOLOT;12911;0;0;;@свтмН1;;;_USTR(мН1->Миг-е=1);_USTR(мН1->Миг-е=0);;0;0;;0;;;0; 0x0A06;0;
7089;Перекрытие светофоров с маневровым показанием;Перекрытие по светофору Н2;ПСМПН2;0;7;10;7;0;0;0;0;0;0;ZABOLOT;12911;0;0;;@свтмН2;;;_USTR(мН2->Миг-е=1);_USTR(мН2->Миг-е=0);;0;0;;0;;;0; 0x0A07;0;
7090;Перекрытие светофоров с маневровым показанием;Перекрытие по светофору М1;ПСМПМ1;0;7;10;8;0;0;0;0;0;0;ZABOLOT;12911;0;0;;@свтМ1;;;_USTR(М1->Миг-е=1);_USTR(М1->Миг-е=0);;0;0;;0;;;0; 0x0A08;0;
7091;Перекрытие светофоров с маневровым показанием;Перекрытие по светофору НМ1А;ПСМПНМ1А;0;7;10;9;0;0;0;0;0;0;ZABOLOT;12911;0;0;;@свтмНм1А;;;_USTR(мНм1А->Миг-е=1);_USTR(мНм1А->Миг-е=0);;0;0;;0;;;0; 0x0A09;0;
7092;Перекрытие светофоров с маневровым показанием;Перекрытие по светофору НМ2А;ПСМПНМ2А;0;7;10;10;0;0;0;0;0;0;ZABOLOT;12911;0;0;;@свтмНм2А;;;_USTR(мНм2А->Миг-е=1);_USTR(мНм2А->Миг-е=0);;0;0;;0;;;0; 0x0A0A;0;
7093;Перекрытие светофоров с маневровым показанием;Перекрытие по светофору М3;ПСМПМ3;0;7;10;11;0;0;0;0;0;0;ZABOLOT;12911;0;0;;@свтМ3;;;_USTR(М3->Миг-е=1);_USTR(М3->Миг-е=0);;0;0;;0;;;0; 0x0A0B;0;
