NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
17001;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;17;1;1;0;0;0;0;0;0;KMS2PST;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0101;0;
17002;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;17;1;2;0;0;0;0;0;0;KMS2PST;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0102;0;
17003;Установка поездных маршрутов;Нечетный прием по Н на 3 путь;НП-3П;0;17;1;3;0;0;0;0;0;0;KMS2PST;41;33;0;@свтН;@свтЧ3;;;;;;0;0;;0;;;0; 0x0103;0;
17004;Установка поездных маршрутов;Нечетный прием по Н на 4 путь;НП-4П;0;17;1;4;0;0;0;0;0;0;KMS2PST;41;34;0;@свтН;@свтЧ4;;;;;;0;0;;0;;;0; 0x0104;0;
17005;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути на НГП;ЧО1-НГП;0;17;1;5;0;0;0;0;0;0;KMS2PST;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0105;0;
17006;Установка поездных маршрутов;Четное отправление по Ч2 с 2 пути на НГП;ЧО2-НГП;0;17;1;6;0;0;0;0;0;0;KMS2PST;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0106;0;
17007;Установка поездных маршрутов;Четное отправление по Ч3 с 3 пути на НГП;ЧО3-НГП;0;17;1;7;0;0;0;0;0;0;KMS2PST;33;41;0;@свтЧ3;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
17008;Установка поездных маршрутов;Четное отправление по Ч4 с 4 пути на НГП;ЧО4-НГП;0;17;1;8;0;0;0;0;0;0;KMS2PST;34;41;0;@свтЧ4;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
17009;Установка поездных маршрутов;Нечетный прием по Нс на 1 путь;НсП-1П;0;17;1;9;0;0;0;0;0;0;KMS2PST;42;31;0;@свтНс;@свтЧ1;;;;;;0;0;;0;;;0; 0x0109;0;
17010;Установка поездных маршрутов;Нечетный прием по Нс на 2 путь;НсП-2П;0;17;1;10;0;0;0;0;0;0;KMS2PST;42;32;0;@свтНс;@свтЧ2;;;;;;0;0;;0;;;0; 0x010A;0;
17011;Установка поездных маршрутов;Нечетный прием по Нс на 3 путь;НсП-3П;0;17;1;11;0;0;0;0;0;0;KMS2PST;42;33;0;@свтНс;@свтЧ3;;;;;;0;0;;0;;;0; 0x010B;0;
17012;Установка поездных маршрутов;Нечетный прием по Нс на 4 путь;НсП-4П;0;17;1;12;0;0;0;0;0;0;KMS2PST;42;34;0;@свтНс;@свтЧ4;;;;;;0;0;;0;;;0; 0x010C;0;
17013;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути на НсГП;ЧО1-НсГП;0;17;1;13;0;0;0;0;0;0;KMS2PST;31;42;0;@свтЧ1;@свтНс;;;;;;0;0;;0;;;0; 0x010D;0;
17014;Установка поездных маршрутов;Четное отправление по Ч2 с 2 пути на НсГП;ЧО2-НсГП;0;17;1;14;0;0;0;0;0;0;KMS2PST;32;42;0;@свтЧ2;@свтНс;;;;;;0;0;;0;;;0; 0x010E;0;
17015;Установка поездных маршрутов;Четное отправление по Ч3 с 3 пути на НсГП;ЧО3-НсГП;0;17;1;15;0;0;0;0;0;0;KMS2PST;33;42;0;@свтЧ3;@свтНс;;;;;;0;0;;0;;;0; 0x010F;0;
17016;Установка поездных маршрутов;Четное отправление по Ч4 с Ч пути на НсГП;ЧО4-НсГП;0;17;1;16;0;0;0;0;0;0;KMS2PST;34;42;0;@свтЧ4;@свтНс;;;;;;0;0;;0;;;0; 0x0110;0;
17017;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;17;1;17;0;0;0;0;0;0;KMS2PST;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0111;0;
17018;Установка поездных маршрутов;Четный прием по Ч на 2 путь;ЧП-2П;0;17;1;18;0;0;0;0;0;0;KMS2PST;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0112;0;
17019;Установка поездных маршрутов;Четный прием по Ч на 3 путь;ЧП-3П;0;17;1;19;0;0;0;0;0;0;KMS2PST;11;23;0;@свтЧ;@свтН3;;;;;;0;0;;0;;;0; 0x0113;0;
17020;Установка поездных маршрутов;Четный прием по Ч на 4 путь;ЧП-4П;0;17;1;20;0;0;0;0;0;0;KMS2PST;11;24;0;@свтЧ;@свтН4;;;;;;0;0;;0;;;0; 0x0114;0;
17021;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;17;1;21;0;0;0;0;0;0;KMS2PST;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0115;0;
17022;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;17;1;22;0;0;0;0;0;0;KMS2PST;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0116;0;
17023;Установка поездных маршрутов;Нечетное отправление по Н3 с 3 пути;НО3П;0;17;1;23;0;0;0;0;0;0;KMS2PST;23;11;0;@свтН3;@свтЧ;;;;;;0;0;;0;;;0; 0x0117;0;
17024;Установка поездных маршрутов;Нечетное отправление по Н4 с 4 пути;НО4П;0;17;1;24;0;0;0;0;0;0;KMS2PST;24;11;0;@свтН4;@свтЧ;;;;;;0;0;;0;;;0; 0x0118;0;
17025;Установка поездных маршрутов;Нечетный прием по Н на 3 путь;вНП-3П;0;17;1;25;0;0;0;0;0;0;KMS2PST;41;0;0;@свтН;@свтМ9;;;;;;0;0;;0;;;0; 0x0119;0;
17026;Установка поездных маршрутов;Четное отправление по Ч3 с 3 пути на НГП;вЧО3-НГП;0;17;1;26;0;0;0;0;0;0;KMS2PST;33;0;0;@свтЧ3;@свтМ9;;;;;;0;0;;0;;;0; 0x011A;0;
17027;Установка маневровых маршрутов;По светофору М5 до М11;ММ5-М11;0;17;3;1;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ5;@свтМ11;;;;;;0;0;;0;;;0; 0x0301;0;
17028;Установка маневровых маршрутов;По светофору М5 на 3 путь;ММ5-3П;0;17;3;2;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ5;@свтмЧ3;;;;;;0;0;;0;;;0; 0x0302;0;
17029;Установка маневровых маршрутов;По светофору М5 на 1 путь;ММ5-1П;0;17;3;3;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ5;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0303;0;
17030;Установка маневровых маршрутов;По светофору М5 на 2 путь;ММ5-2П;0;17;3;4;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ5;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0304;0;
17031;Установка маневровых маршрутов;По светофору М5 на 4 путь;ММ5-4П;0;17;3;5;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ5;@свтмЧ4;;;;;;0;0;;0;;;0; 0x0305;0;
17032;Установка маневровых маршрутов;По светофору М7 на 3 путь;ММ7-3П;0;17;3;6;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ7;@свтмЧ3;;;;;;0;0;;0;;;0; 0x0306;0;
17033;Установка маневровых маршрутов;По светофору М7 на 1 путь;ММ7-1П;0;17;3;7;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ7;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0307;0;
17034;Установка маневровых маршрутов;По светофору М7 на 2 путь;ММ7-2П;0;17;3;8;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ7;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0308;0;
17035;Установка маневровых маршрутов;По светофору М7 на 4 путь;ММ7-4П;0;17;3;9;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ7;@свтмЧ4;;;;;;0;0;;0;;;0; 0x0309;0;
17036;Установка маневровых маршрутов;По светофору М9 за М5;ММ9-М5;0;17;3;10;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ9;@свтМ5;;;;;;0;0;;0;;;0; 0x030A;0;
17037;Установка маневровых маршрутов;По светофору М11 на 3 путь;ММ11-3П;0;17;3;11;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ11;@свтмЧ3;;;;;;0;0;;0;;;0; 0x030B;0;
17038;Установка маневровых маршрутов;По светофору Ч3 до М9;МЧ3-М9;0;17;3;12;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмЧ3;@свтМ9;;;;;;0;0;;0;;;0; 0x030C;0;
17039;Установка маневровых маршрутов;По светофору Ч3 за М5;МЧ3-М5;0;17;3;13;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмЧ3;@свтМ5;;;;;;0;0;;0;;;0; 0x030D;0;
17040;Установка маневровых маршрутов;По светофору Ч3 за М7;МЧ3-М7;0;17;3;14;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмЧ3;@свтМ7;;;;;;0;0;;0;;;0; 0x030E;0;
17041;Установка маневровых маршрутов;По светофору Ч1 за М5;МЧ1-М5;0;17;3;15;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмЧ1;@свтМ5;;;;;;0;0;;0;;;0; 0x030F;0;
17042;Установка маневровых маршрутов;По светофору Ч1 за М7;МЧ1-М7;0;17;3;16;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмЧ1;@свтМ7;;;;;;0;0;;0;;;0; 0x0310;0;
17043;Установка маневровых маршрутов;По светофору Ч2 за М5;МЧ2-М5;0;17;3;17;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмЧ2;@свтМ5;;;;;;0;0;;0;;;0; 0x0311;0;
17044;Установка маневровых маршрутов;По светофору Ч2 за М7;МЧ2-М7;0;17;3;18;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмЧ2;@свтМ7;;;;;;0;0;;0;;;0; 0x0312;0;
17045;Установка маневровых маршрутов;По светофору Ч4 за М5;МЧ4-М5;0;17;3;19;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмЧ4;@свтМ5;;;;;;0;0;;0;;;0; 0x0313;0;
17046;Установка маневровых маршрутов;По светофору Ч4 за М7;МЧ4-М7;0;17;3;20;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмЧ4;@свтМ7;;;;;;0;0;;0;;;0; 0x0314;0;
17047;Установка маневровых маршрутов;По светофору М16 на 3 путь;ММ16-3П;0;17;3;21;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ16;@свтмН3;;;;;;0;0;;0;;;0; 0x0315;0;
17048;Установка маневровых маршрутов;По светофору М16 на 1 путь;ММ16-1П;0;17;3;22;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ16;@свтмН1;;;;;;0;0;;0;;;0; 0x0316;0;
17049;Установка маневровых маршрутов;По светофору М16 на 2 путь;ММ16-2П;0;17;3;23;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ16;@свтмН2;;;;;;0;0;;0;;;0; 0x0317;0;
17050;Установка маневровых маршрутов;По светофору М16 на 4 путь;ММ16-4П;0;17;3;24;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ16;@свтмН4;;;;;;0;0;;0;;;0; 0x0318;0;
17051;Установка маневровых маршрутов;По светофору М20 на 3 путь;ММ20-3П;0;17;3;25;0;0;0;0;0;0;KMS2PST;0;0;0;@свтМ20;@свтмН3;;;;;;0;0;;0;;;0; 0x0319;0;
17052;Установка маневровых маршрутов;По светофору Н3 за М20;МН3-М20;0;17;3;26;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмН3;@свтМ20;;;;;;0;0;;0;;;0; 0x031A;0;
17053;Установка маневровых маршрутов;По светофору Н3 за М16;МН3-М16;0;17;3;27;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмН3;@свтМ16;;;;;;0;0;;0;;;0; 0x031B;0;
17054;Установка маневровых маршрутов;По светофору Н1 за М16;МН1-М16;0;17;3;28;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмН1;@свтМ16;;;;;;0;0;;0;;;0; 0x031C;0;
17055;Установка маневровых маршрутов;По светофору Н2 за М16;МН2-М16;0;17;3;29;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмН2;@свтМ16;;;;;;0;0;;0;;;0; 0x031D;0;
17056;Установка маневровых маршрутов;По светофору Н4 за М16;МН4-М16;0;17;3;30;0;0;0;0;0;0;KMS2PST;0;0;0;@свтмН4;@свтМ16;;;;;;0;0;;0;;;0; 0x031E;0;
17057;Отмена поездных маршрутов;По светофору Н;ОПН;0;17;2;1;0;0;0;0;0;0;KMS2PST;12909;41;0;;@свтН;;;_USTR(Н->Миг-е=1);_USTR(Н->Миг-е=0);;0;0;;0;;;0; 0x0201;0;
17058;Отмена поездных маршрутов;По светофору Ч1;ОПЧ1;0;17;2;2;0;0;0;0;0;0;KMS2PST;12909;31;0;;@свтЧ1;;;_USTR(Ч1->Миг-е=1);_USTR(Ч1->Миг-е=0);;0;0;;0;;;0; 0x0202;0;
17059;Отмена поездных маршрутов;По светофору Ч2;ОПЧ2;0;17;2;3;0;0;0;0;0;0;KMS2PST;12909;32;0;;@свтЧ2;;;_USTR(Ч2->Миг-е=1);_USTR(Ч2->Миг-е=0);;0;0;;0;;;0; 0x0203;0;
17060;Отмена поездных маршрутов;По светофору Ч3;ОПЧ3;0;17;2;4;0;0;0;0;0;0;KMS2PST;12909;33;0;;@свтЧ3;;;_USTR(Ч3->Миг-е=1);_USTR(Ч3->Миг-е=0);;0;0;;0;;;0; 0x0204;0;
17061;Отмена поездных маршрутов;По светофору Ч4;ОПЧ4;0;17;2;5;0;0;0;0;0;0;KMS2PST;12909;34;0;;@свтЧ4;;;_USTR(Ч4->Миг-е=1);_USTR(Ч4->Миг-е=0);;0;0;;0;;;0; 0x0205;0;
17062;Отмена поездных маршрутов;По светофору Нс;ОПНс;0;17;2;6;0;0;0;0;0;0;KMS2PST;12909;42;0;;@свтНс;;;_USTR(Нс->Миг-е=1);_USTR(Нс->Миг-е=0);;0;0;;0;;;0; 0x0206;0;
17063;Отмена поездных маршрутов;По светофору Ч;ОПЧ;0;17;2;7;0;0;0;0;0;0;KMS2PST;12909;11;0;;@свтЧ;;;_USTR(Ч->Миг-е=1);_USTR(Ч->Миг-е=0);;0;0;;0;;;0; 0x0207;0;
17064;Отмена поездных маршрутов;По светофору Н1;ОПН1;0;17;2;8;0;0;0;0;0;0;KMS2PST;12909;21;0;;@свтН1;;;_USTR(Н1->Миг-е=1);_USTR(Н1->Миг-е=0);;0;0;;0;;;0; 0x0208;0;
17065;Отмена поездных маршрутов;По светофору Н2;ОПН2;0;17;2;9;0;0;0;0;0;0;KMS2PST;12909;22;0;;@свтН2;;;_USTR(Н2->Миг-е=1);_USTR(Н2->Миг-е=0);;0;0;;0;;;0; 0x0209;0;
17066;Отмена поездных маршрутов;По светофору Н3;ОПН3;0;17;2;10;0;0;0;0;0;0;KMS2PST;12909;23;0;;@свтН3;;;_USTR(Н3->Миг-е=1);_USTR(Н3->Миг-е=0);;0;0;;0;;;0; 0x020A;0;
