NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
14001;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;14;1;1;0;0;0;0;0;0;LIAN;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0101;0;
14002;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;14;1;2;0;0;0;0;0;0;LIAN;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0102;0;
14003;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;14;1;3;0;0;0;0;0;0;LIAN;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0103;0;
14004;Установка поездных маршрутов;Четное отправление по Ч2 с 2 пути;ЧО2П;0;14;1;4;0;0;0;0;0;0;LIAN;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0104;0;
14005;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;14;1;5;0;0;0;0;0;0;LIAN;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0105;0;
14006;Установка поездных маршрутов;Четный прием по Ч на 2 путь;ЧП-2П;0;14;1;6;0;0;0;0;0;0;LIAN;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0106;0;
14007;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;14;1;7;0;0;0;0;0;0;LIAN;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0107;0;
14008;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;14;1;8;0;0;0;0;0;0;LIAN;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0108;0;
14009;Установка маневровых маршрутов;По светофору М1 на 1 путь;ММ1-1П;0;14;3;1;0;0;0;0;0;0;LIAN;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0301;0;
14010;Установка маневровых маршрутов;По светофору М1 на 2 путь;ММ1-2П;0;14;3;2;0;0;0;0;0;0;LIAN;0;0;0;@свтМ1;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0302;0;
14011;Установка маневровых маршрутов;По светофору Ч1 за М1;МЧ1-М1;0;14;3;3;0;0;0;0;0;0;LIAN;0;0;0;@свтмЧ1;@свтМ1;;;;;;0;0;;0;;;0; 0x0303;0;
14012;Установка маневровых маршрутов;По светофору Ч2 за М1;МЧ2-М1;0;14;3;4;0;0;0;0;0;0;LIAN;0;0;0;@свтмЧ2;@свтМ1;;;;;;0;0;;0;;;0; 0x0304;0;
