NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
11001;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;11;1;1;0;0;0;0;0;0;MAVRIN;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0101;0;
11002;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;11;1;2;0;0;0;0;0;0;MAVRIN;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0102;0;
11003;Установка поездных маршрутов;Нечетный прием по Н на 4 путь;НП-4П;0;11;1;3;0;0;0;0;0;0;MAVRIN;41;34;0;@свтН;@свтЧ4;;;;;;0;0;;0;;;0; 0x0103;0;
11004;Установка поездных маршрутов;Четное отправление по Ч1с 1 пути;ЧО1П;0;11;1;4;0;0;0;0;0;0;MAVRIN;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0104;0;
11005;Установка поездных маршрутов;Четное отправление по Ч2 с 2 пути;ЧО2П;0;11;1;5;0;0;0;0;0;0;MAVRIN;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0105;0;
11006;Установка поездных маршрутов;Четное отправление по Ч4 с 4 пути;ЧО4П;0;11;1;6;0;0;0;0;0;0;MAVRIN;34;41;0;@свтЧ4;@свтН;;;;;;0;0;;0;;;0; 0x0106;0;
11007;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;11;1;7;0;0;0;0;0;0;MAVRIN;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0107;0;
11008;Установка поездных маршрутов;Четный прием по Ч на 2 путь;ЧП-2П;0;11;1;8;0;0;0;0;0;0;MAVRIN;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0108;0;
11009;Установка поездных маршрутов;Четный прием по Ч на 4 путь;ЧП-4П;0;11;1;9;0;0;0;0;0;0;MAVRIN;11;24;0;@свтЧ;@свтН4;;;;;;0;0;;0;;;0; 0x0109;0;
11010;Установка поездных маршрутов;Нечетное отправление по H1 с 1 пути;НО1П;0;11;1;10;0;0;0;0;0;0;MAVRIN;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x010A;0;
11011;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;11;1;11;0;0;0;0;0;0;MAVRIN;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x010B;0;
11012;Установка поездных маршрутов;Нечетное отправление по Н4 с 4 пути;НО4П;0;11;1;12;0;0;0;0;0;0;MAVRIN;24;11;0;@свтН4;@свтЧ;;;;;;0;0;;0;;;0; 0x010C;0;
11013;Установка маневровых маршрутов;По светофору М1 до М5;ММ1-М5;0;11;3;1;0;0;0;0;0;0;MAVRIN;0;0;0;@свтМ1;@свтМ5;;;;;;0;0;;0;;;0; 0x0301;0;
11014;Установка маневровых маршрутов;По светофору М3 за М1;ММ3-М1;0;11;3;2;0;0;0;0;0;0;MAVRIN;0;0;0;@свтМ3;@свтМ1;;;;;;0;0;;0;;;0; 0x0302;0;
