NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
29001;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;9;1;1;0;0;0;0;0;0;MOGDI;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
29002;Установка поездных маршрутов;Четный прием по Ч на 3 путь;ЧП-3П;0;9;1;2;0;0;0;0;0;0;MOGDI;11;23;0;@свтЧ;@свтН3;;;;;;0;0;;0;;;0; 0x0102;0;
29003;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;9;1;3;0;0;0;0;0;0;MOGDI;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0103;0;
29004;Установка поездных маршрутов;Нечетное отправление по Н3 с 3 пути;НО3П;0;9;1;4;0;0;0;0;0;0;MOGDI;23;11;0;@свтН3;@свтЧ;;;;;;0;0;;0;;;0; 0x0104;0;
29005;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;9;1;5;0;0;0;0;0;0;MOGDI;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0105;0;
29006;Установка поездных маршрутов;Нечетный прием по Н на 3 путь;НП-3П;0;9;1;6;0;0;0;0;0;0;MOGDI;41;33;0;@свтН;@свтЧ3;;;;;;0;0;;0;;;0; 0x0106;0;
29007;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;9;1;7;0;0;0;0;0;0;MOGDI;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
29008;Установка поездных маршрутов;Четное отправление по Ч3 с 3 пути;ЧО3П;0;9;1;8;0;0;0;0;0;0;MOGDI;33;41;0;@свтЧ3;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
29009;Установка маневровых маршрутов;По светофору М1 на  1 путь;ММ1-1П;0;9;3;1;0;0;0;0;0;0;MOGDI;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0301;0;
29010;Установка маневровых маршрутов;По светофору М1 на  3 путь;ММ1-3П;0;9;3;2;0;0;0;0;0;0;MOGDI;0;0;0;@свтМ1;@свтмЧ3;;;;;;0;0;;0;;;0; 0x0302;0;
29011;Установка маневровых маршрутов;По светофору Ч1 за М1;МЧ1-М1;0;9;3;3;0;0;0;0;0;0;MOGDI;0;0;0;@свтмЧ1;@свтМ1;;;;;;0;0;;0;;;0; 0x0303;0;
29012;Установка маневровых маршрутов;По светофору Ч3 за М1;МЧ3-М1;0;9;3;4;0;0;0;0;0;0;MOGDI;0;0;0;@свтмЧ3;@свтМ1;;;;;;0;0;;0;;;0; 0x0304;0;
29013;Установка маневровых маршрутов;По светофору М2 на 1 путь;ММ2-1П;0;9;3;5;0;0;0;0;0;0;MOGDI;0;0;0;@свтМ2;@свтмН1;;;;;;0;0;;0;;;0; 0x0305;0;
29014;Установка маневровых маршрутов;По светофору М2 на 3 путь;ММ2-3П;0;9;3;6;0;0;0;0;0;0;MOGDI;0;0;0;@свтМ2;@свтмН3;;;;;;0;0;;0;;;0; 0x0306;0;
29015;Установка маневровых маршрутов;По светофору М2 за М4;ММ2-М4;0;9;3;7;0;0;0;0;0;0;MOGDI;0;0;0;@свтМ2;@свтМ4;;;;;;0;0;;0;;;0; 0x0307;0;
29016;Установка маневровых маршрутов;По светофору Н1 за М2;МН1-М2;0;9;3;8;0;0;0;0;0;0;MOGDI;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x0308;0;
29017;Установка маневровых маршрутов;По светофору Н3 за М2;МН3-М2;0;9;3;9;0;0;0;0;0;0;MOGDI;0;0;0;@свтмН3;@свтМ2;;;;;;0;0;;0;;;0; 0x0309;0;
29018;Установка маневровых маршрутов;По светофору М4 за М2;ММ4-М2;0;9;3;10;0;0;0;0;0;0;MOGDI;0;0;0;@свтМ4;@свтМ2;;;;;;0;0;;0;;;0; 0x030A;0;
29019;Отмена поездных маршрутов;По светофору Ч;ОПЧ;0;9;2;1;0;0;0;0;0;0;MOGDI;12909;11;0;;@свтЧ;;;_USTR(Ч->Миг-е=1);_USTR(Ч->Миг-е=0);;0;0;;0;;;0; 0x0201;0;
29020;Отмена поездных маршрутов;По светофору Н1;ОПН1;0;9;2;2;0;0;0;0;0;0;MOGDI;12909;21;0;;@свтН1;;;_USTR(Н1->Миг-е=1);_USTR(Н1->Миг-е=0);;0;0;;0;;;0; 0x0202;0;
29021;Отмена поездных маршрутов;По светофору Н3;ОПН3;0;9;2;3;0;0;0;0;0;0;MOGDI;12909;23;0;;@свтН3;;;_USTR(Н3->Миг-е=1);_USTR(Н3->Миг-е=0);;0;0;;0;;;0; 0x0203;0;
29022;Отмена поездных маршрутов;По светофору Н;ОПН;0;9;2;4;0;0;0;0;0;0;MOGDI;12909;41;0;;@свтН;;;_USTR(Н->Миг-е=1);_USTR(Н->Миг-е=0);;0;0;;0;;;0; 0x0204;0;
29023;Отмена поездных маршрутов;По светофору Ч1;ОПЧ1;0;9;2;5;0;0;0;0;0;0;MOGDI;12909;31;0;;@свтЧ1;;;_USTR(Ч1->Миг-е=1);_USTR(Ч1->Миг-е=0);;0;0;;0;;;0; 0x0205;0;
29024;Отмена поездных маршрутов;По светофору Ч3;ОПЧ3;0;9;2;6;0;0;0;0;0;0;MOGDI;12909;33;0;;@свтЧ3;;;_USTR(Ч3->Миг-е=1);_USTR(Ч3->Миг-е=0);;0;0;;0;;;0; 0x0206;0;
29025;Отмена маневровых маршрутов;По светофору М1;ОММ1;0;9;4;1;0;0;0;0;0;0;MOGDI;9;0;0;;@свтМ1;;;_USTR(М1->Миг-е=1);_USTR(М1->Миг-е=0);;0;0;;0;;;0; 0x0401;0;
