NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
2001;Установка поездных маршрутов;Нечетный прием по Н с НГП1 на 2П путь;НП-НГП1-2П;0;2;1;1;0;0;0;0;0;0;MOHORTOV;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0101;0;
2002;Установка поездных маршрутов;Нечетный прием по Н с НГП1 на IП путь;НП-НГП1-IП;0;2;1;2;0;0;0;0;0;0;MOHORTOV;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0102;0;
2003;Установка поездных маршрутов;Четное отправление по Ч1 с IП пути на НГП1;ЧО-IП-НГП1;0;2;1;3;0;0;0;0;0;0;MOHORTOV;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0103;0;
2004;Установка поездных маршрутов;Четное отправление по Ч2 с 2П пути на НГП1;ЧО-2П-НГП1;0;2;1;4;0;0;0;0;0;0;MOHORTOV;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0104;0;
2005;Установка поездных маршрутов;Четный прием по Ч с ЧГП1 на 2АП путь;ЧП-ЧГП1-2АП;0;2;1;5;0;0;0;0;0;0;MOHORTOV;11;22;0;@свтЧ;@свтН2А;;;;;;0;0;;0;;;0; 0x0105;0;
2006;Установка поездных маршрутов;Четный прием по Ч с ЧГП1 на IАП путь;ЧП-ЧГП1-IАП;0;2;1;6;0;0;0;0;0;0;MOHORTOV;11;21;0;@свтЧ;@свтН1А;;;;;;0;0;;0;;;0; 0x0106;0;
2007;Установка поездных маршрутов;Нечетное отправление по Н1А с IАП пути на ЧГП1;НО-IАП-ЧГП1;0;2;1;7;0;0;0;0;0;0;MOHORTOV;21;11;0;@свтН1А;@свтЧ;;;;;;0;0;;0;;;0; 0x0107;0;
2008;Установка поездных маршрутов;Нечетное отправление по Н2А с 2АП пути на ЧГП1;НО-2АП-ЧГП1;0;2;1;8;0;0;0;0;0;0;MOHORTOV;22;11;0;@свтН2А;@свтЧ;;;;;;0;0;;0;;;0; 0x0108;0;
2009;Установка поездных маршрутов;Передача по НМ1 с IП пути на 2АП путь;ПР-IП-2АП;0;2;1;9;0;0;0;0;0;0;MOHORTOV;81;82;0;@свтНм1;@свтЧм2А;;;;;;0;0;;0;;;0; 0x0109;0;
2010;Установка поездных маршрутов;Передача по НМ1 с IП пути на IАП путь;ПР-IП-IАП;0;2;1;10;0;0;0;0;0;0;MOHORTOV;81;81;0;@свтНм1;@свтЧм1А;;;;;;0;0;;0;;;0; 0x010A;0;
