NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
3001;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;3;1;1;0;0;0;0;0;0;MURTYGIT;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
3002;Установка поездных маршрутов;Четный прием по Ч на 2 путь;ЧП-2П;0;3;1;2;0;0;0;0;0;0;MURTYGIT;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0102;0;
3003;Установка поездных маршрутов;Четный прием по Ч на 3 путь;ЧП-3П;0;3;1;3;0;0;0;0;0;0;MURTYGIT;11;23;0;@свтЧ;@свтН3;;;;;;0;0;;0;;;0; 0x0103;0;
3004;Установка поездных маршрутов;Четный прием по Ч на 4 путь;ЧП-4П;0;3;1;4;0;0;0;0;0;0;MURTYGIT;11;24;0;@свтЧ;@свтН4;;;;;;0;0;;0;;;0; 0x0104;0;
3005;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;3;1;5;0;0;0;0;0;0;MURTYGIT;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0105;0;
3006;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;3;1;6;0;0;0;0;0;0;MURTYGIT;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0106;0;
3007;Установка поездных маршрутов;Нечетное отправление по Н3 с 3 пути;НО3П;0;3;1;7;0;0;0;0;0;0;MURTYGIT;23;11;0;@свтН3;@свтЧ;;;;;;0;0;;0;;;0; 0x0107;0;
3008;Установка поездных маршрутов;Нечетное отправление по Н4 с 4 пути;НО4П;0;3;1;8;0;0;0;0;0;0;MURTYGIT;24;11;0;@свтН4;@свтЧ;;;;;;0;0;;0;;;0; 0x0108;0;
3009;Установка поездных маршрутов;Четное отправление по Ч1 с 1А пути;ЧО1АП;0;3;1;9;0;0;0;0;0;0;MURTYGIT;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0109;0;
3010;Установка поездных маршрутов;Четное отправление по Ч3 с 3А пути;ЧО3АП;0;3;1;10;0;0;0;0;0;0;MURTYGIT;33;41;0;@свтЧ3;@свтН;;;;;;0;0;;0;;;0; 0x010A;0;
3011;Установка поездных маршрутов;Нечетный прием по Н на 1А путь;НП-1АП;0;3;1;11;0;0;0;0;0;0;MURTYGIT;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x010B;0;
3012;Установка поездных маршрутов;Нечетный прием по Н на 3А путь;НП-3АП;0;3;1;12;0;0;0;0;0;0;MURTYGIT;41;33;0;@свтН;@свтЧ3;;;;;;0;0;;0;;;0; 0x010C;0;
3013;Установка поездных маршрутов;Нечетная передача по НМ1 на 1 путь;НМ1-1П;0;3;1;13;0;0;0;0;0;0;MURTYGIT;81;51;0;@свтНм1;@свтЧм1;;;;;;0;0;;0;;;0; 0x010D;0;
3014;Установка поездных маршрутов;Нечетная передача по НМ1 на 2 путь;НМ1-2П;0;3;1;14;0;0;0;0;0;0;MURTYGIT;81;52;0;@свтНм1;@свтЧм2;;;;;;0;0;;0;;;0; 0x010E;0;
3015;Установка поездных маршрутов;Нечетная передача по НМ1 на 4 путь;НМ1-4П;0;3;1;15;0;0;0;0;0;0;MURTYGIT;81;54;0;@свтНм1;@свтЧм4;;;;;;0;0;;0;;;0; 0x010F;0;
3016;Установка поездных маршрутов;Нечетная передача по НМ3 на 3 путь;НМ3-3П;0;3;1;16;0;0;0;0;0;0;MURTYGIT;83;53;0;@свтНм3;@свтЧм3;;;;;;0;0;;0;;;0; 0x0110;0;
3017;Установка поездных маршрутов;Четная передача по ЧМ1 на 1А путь;ЧМ1-1АП;0;3;1;17;0;0;0;0;0;0;MURTYGIT;51;81;0;@свтЧм1;@свтНм1;;;;;;0;0;;0;;;0; 0x0111;0;
3018;Установка поездных маршрутов;Четная передача по ЧМ2 на 1А путь;ЧМ2-1АП;0;3;1;18;0;0;0;0;0;0;MURTYGIT;52;81;0;@свтЧм2;@свтНм1;;;;;;0;0;;0;;;0; 0x0112;0;
3019;Установка поездных маршрутов;Четная передача по ЧМ3 на 3А путь;ЧМ3-3АП;0;3;1;19;0;0;0;0;0;0;MURTYGIT;53;83;0;@свтЧм3;@свтНм3;;;;;;0;0;;0;;;0; 0x0113;0;
3020;Установка поездных маршрутов;Четная передача по ЧМ4 на 1А путь;ЧМ4-1АП;0;3;1;20;0;0;0;0;0;0;MURTYGIT;54;81;0;@свтЧм4;@свтНм1;;;;;;0;0;;0;;;0; 0x0114;0;
3021;Установка маневровых маршрутов;По светофору М1 на 1А путь;ММ1-1АП;0;3;3;1;0;0;0;0;0;0;MURTYGIT;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0301;0;
3022;Установка маневровых маршрутов;По светофору М1 на 3А путь;ММ1-3АП;0;3;3;2;0;0;0;0;0;0;MURTYGIT;0;0;0;@свтМ1;@свтмЧ3;;;;;;0;0;;0;;;0; 0x0302;0;
3023;Установка маневровых маршрутов;По светофору М3 на 2 путь;ММ3-2П;0;3;3;3;0;0;0;0;0;0;MURTYGIT;0;0;0;@свтМ3;@свтмЧм2;;;;;;0;0;;0;;;0; 0x0303;0;
3024;Установка маневровых маршрутов;По светофору М3 на 4 путь;ММ3-4П;0;3;3;4;0;0;0;0;0;0;MURTYGIT;0;0;0;@свтМ3;@свтмЧм4;;;;;;0;0;;0;;;0; 0x0304;0;
3025;Установка маневровых маршрутов;По светофору М9 на 3А путь;ММ9-3АП;0;3;3;5;0;0;0;0;0;0;MURTYGIT;0;0;0;@свтМ9;@свтмНм3;;;;;;0;0;;0;;;0; 0x0305;0;
3026;Установка маневровых маршрутов;По светофору Н1М за М2;МН1-М2;0;3;3;6;0;0;0;0;0;0;MURTYGIT;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x0306;0;
3027;Установка маневровых маршрутов;По светофору Н2М за М2;МН2-М2;0;3;3;7;0;0;0;0;0;0;MURTYGIT;0;0;0;@свтмН2;@свтМ2;;;;;;0;0;;0;;;0; 0x0307;0;
3028;Установка маневровых маршрутов;По светофору Н2М за М4;МН2-М4;0;3;3;8;0;0;0;0;0;0;MURTYGIT;0;0;0;@свтмН2;@свтМ4;;;;;;0;0;;0;;;0; 0x0308;0;
3029;Установка маневровых маршрутов;По светофору Н3М за М2;МН3-М2;0;3;3;9;0;0;0;0;0;0;MURTYGIT;0;0;0;@свтмН3;@свтМ2;;;;;;0;0;;0;;;0; 0x0309;0;
3030;Установка маневровых маршрутов;По светофору Н4М за М2;МН4-М2;0;3;3;10;0;0;0;0;0;0;MURTYGIT;0;0;0;@свтмН4;@свтМ2;;;;;;0;0;;0;;;0; 0x030A;0;
3031;Установка маневровых маршрутов;По светофору Н4М за М4;МН4-М4;0;3;3;11;0;0;0;0;0;0;MURTYGIT;0;0;0;@свтмН4;@свтМ4;;;;;;0;0;;0;;;0; 0x030B;0;
3032;Установка маневровых маршрутов;По светофору НМ1М на 1 путь;МНМ1-1П;0;3;3;12;0;0;0;0;0;0;MURTYGIT;0;51;0;@свтмНм1;@свтмЧм1;;;;;;0;0;;0;;;0; 0x030C;0;
3033;Установка маневровых маршрутов;По светофору НМ1М на 2 путь;МНМ1-2П;0;3;3;13;0;0;0;0;0;0;MURTYGIT;0;52;0;@свтмНм1;@свтмЧм2;;;;;;0;0;;0;;;0; 0x030D;0;
