NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
12001;Установка поездных маршрутов;Четный прием по Ч c ЧГП на IГП путь;ЧГП-IГП;0;12;1;1;0;0;0;0;0;0;POBOZH;11;21;0;@свтЧ;@свтIН;;;;;;0;0;;0;;;0; 0x0101;0;
12002;Установка поездных маршрутов;Четный прием по Ч c ЧГП на IIГП путь;ЧГП-IIГП;0;12;1;2;0;0;0;0;0;0;POBOZH;11;22;0;@свтЧ;@свтIIН;;;;;;0;0;;0;;;0; 0x0102;0;
12003;Установка поездных маршрутов;Передача по IЧ с IГП пути на 1П путь;ПIГП-1П;0;12;1;3;0;0;0;0;0;0;POBOZH;31;21;0;@свтIЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0103;0;
12004;Установка поездных маршрутов;Передача по IЧ с IГП пути на 2П путь;ПIГП-2П;0;12;1;4;0;0;0;0;0;0;POBOZH;31;22;0;@свтIЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0104;0;
12005;Установка поездных маршрутов;Передача по IIЧ с IIГП пути на 1П путь;ПIIГП-1П;0;12;1;5;0;0;0;0;0;0;POBOZH;32;21;0;@свтIIЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0105;0;
12006;Установка поездных маршрутов;Передача по IIЧ с IIГП пути на 2П путь;ПIIГП-2П;0;12;1;6;0;0;0;0;0;0;POBOZH;32;22;0;@свтIIЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0106;0;
12007;Установка поездных маршрутов;Четное отправление по Ч1 с 1П пути на НГП;ЧО1П-НГП;0;12;1;7;0;0;0;0;0;0;POBOZH;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
12008;Установка поездных маршрутов;Четное отправление по Ч2 с 2П пути на НГП;ЧО2П-НГП;0;12;1;8;0;0;0;0;0;0;POBOZH;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
12009;Установка поездных маршрутов;Нечетный прием по Н с НГП на 1П путь;НП-1П;0;12;1;9;0;0;0;0;0;0;POBOZH;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0109;0;
12010;Установка поездных маршрутов;Нечетный прием по Н с НГП на 2П путь;НП-2П;0;12;1;10;0;0;0;0;0;0;POBOZH;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x010A;0;
12011;Установка поездных маршрутов;Передача по Н1 с 1П пути на IГП путь;П1П-IГП;0;12;1;11;0;0;0;0;0;0;POBOZH;21;31;0;@свтН1;@свтIЧ;;;;;;0;0;;0;;;0; 0x010B;0;
12012;Установка поездных маршрутов;Передача по Н1 с 1П пути на IIГП путь;П1П-IIГП;0;12;1;12;0;0;0;0;0;0;POBOZH;21;32;0;@свтН1;@свтIIЧ;;;;;;0;0;;0;;;0; 0x010C;0;
