NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
15001;Установка поездных маршрутов;Пропуск по Н с НГП на IЧГП путь;ПП-НГП-IЧГП;0;15;1;1;0;0;0;0;0;0;PP_105KM;41;11;0;@свтН;@свт1Ч;;;;;;0;0;;0;;;0; 0x0101;0;
15002;Установка поездных маршрутов;Пропуск по Н с НГП на IIЧГП путь;ПП-НГП-IIЧГП;0;15;1;2;0;0;0;0;0;0;PP_105KM;41;12;0;@свтН;@свт2Ч;;;;;;0;0;;0;;;0; 0x0102;0;
15003;Установка поездных маршрутов;Пропуск по 1Ч с IЧГП на НГП путь;ПП-IЧГП-НГП;0;15;1;3;0;0;0;0;0;0;PP_105KM;11;41;0;@свт1Ч;@свтН;;;;;;0;0;;0;;;0; 0x0103;0;
15004;Установка поездных маршрутов;Пропуск по 2Ч с IIЧГП на НГП путь;ПП-IIЧГП-НГП;0;15;1;4;0;0;0;0;0;0;PP_105KM;12;41;0;@свт2Ч;@свтН;;;;;;0;0;;0;;;0; 0x0104;0;
15005;Установка поездных маршрутов в замкнутом маршруте;По светофору Н;ВУПН;0;15;1;5;0;0;0;0;0;0;PP_105KM;1007;41;0;;@свтН;;;_USTR(Н->Миг-е=1);_USTR(Н->Миг-е=0);;0;0;;0;;;0; 0x0105;0;
15006;Установка поездных маршрутов в замкнутом маршруте;По светофору 1Ч;ВУП1Ч;0;15;1;6;0;0;0;0;0;0;PP_105KM;1007;11;0;;@свт1Ч;;;_USTR(1Ч->Миг-е=1);_USTR(1Ч->Миг-е=0);;0;0;;0;;;0; 0x0106;0;
15007;Установка поездных маршрутов в замкнутом маршруте;По светофору 2Ч;ВУП2Ч;0;15;1;7;0;0;0;0;0;0;PP_105KM;1007;12;0;;@свт2Ч;;;_USTR(2Ч->Миг-е=1);_USTR(2Ч->Миг-е=0);;0;0;;0;;;0; 0x0107;0;
15008;Отмена поездных маршрутов;По светофору Н;ОПН;0;15;2;1;0;0;0;0;0;0;PP_105KM;12909;41;0;;@свтН;;;_USTR(Н->Миг-е=1);_USTR(Н->Миг-е=0);;0;0;;0;;;0; 0x0201;0;
15009;Отмена поездных маршрутов;По светофору 1Ч;ОП1Ч;0;15;2;2;0;0;0;0;0;0;PP_105KM;12909;11;0;;@свт1Ч;;;_USTR(1Ч->Миг-е=1);_USTR(1Ч->Миг-е=0);;0;0;;0;;;0; 0x0202;0;
15010;Отмена поездных маршрутов;По светофору 2Ч;ОП2Ч;0;15;2;3;0;0;0;0;0;0;PP_105KM;12909;12;0;;@свт2Ч;;;_USTR(2Ч->Миг-е=1);_USTR(2Ч->Миг-е=0);;0;0;;0;;;0; 0x0203;0;
15011;Перекрытие светофоров с поездным показанием;Перекрытие по светофору 1Ч;ПСПП1Ч;0;15;9;1;0;0;0;0;0;0;PP_105KM;12910;11;0;;@свт1Ч;;;_USTR(1Ч->Миг-е=1);_USTR(1Ч->Миг-е=0);;0;0;;0;;;0; 0x0901;0;
15012;Перекрытие светофоров с поездным показанием;Перекрытие по светофору 2Ч;ПСПП2Ч;0;15;9;2;0;0;0;0;0;0;PP_105KM;12910;12;0;;@свт2Ч;;;_USTR(2Ч->Миг-е=1);_USTR(2Ч->Миг-е=0);;0;0;;0;;;0; 0x0902;0;
15013;Перекрытие светофоров с поездным показанием;Перекрытие по светофору Н;ПСППН;0;15;9;3;0;0;0;0;0;0;PP_105KM;12910;41;0;;@свтН;;;_USTR(Н->Миг-е=1);_USTR(Н->Миг-е=0);;0;0;;0;;;0; 0x0903;0;
15014;Индивидуальный перевод стрелок;Перевод стрелки 1 в плюс;ИПС 1П;0;15;7;1;0;0;0;0;0;0;PP_105KM;1023;0;1031;;@стр1;;;_USTR(1->_UPol=1);_USTR(1->_UPol=0);;0;0;;0;;;0; 0x0701;0;
15015;Индивидуальный перевод стрелок;Перевод стрелки 1 в минус;ИПС 1М;0;15;7;2;0;0;0;0;0;0;PP_105KM;1023;0;1032;;@стр1;;;_USTR(1->_UPol=2);_USTR(1->_UPol=0);;0;0;;0;;;0; 0x0702;0;
15016;Индивидуальный перевод стрелок;Перевод стрелки 3 в плюс;ИПС 3П;0;15;7;3;0;0;0;0;0;0;PP_105KM;1023;0;1031;;@стр3;;;_USTR(3->_UPol=1);_USTR(3->_UPol=0);;0;0;;0;;;0; 0x0703;0;
15017;Индивидуальный перевод стрелок;Перевод стрелки 3 в минус;ИПС 3М;0;15;7;4;0;0;0;0;0;0;PP_105KM;1023;0;1032;;@стр3;;;_USTR(3->_UPol=2);_USTR(3->_UPol=0);;0;0;;0;;;0; 0x0704;0;
15018;Искусственное размыкание секций;Выбор участка пути 1ЧП для искусственной разделки;1ЧПРИ;0;15;8;1;0;0;0;0;0;0;PP_105KM;1022;0;0;;@стрпути 1ЧП;;;_USTR(1ЧП->_UIR=1);_USTR(1ЧП->_UIR=0);;0;0;;0;;;0; 0x0801;0;
15019;Искусственное размыкание секций;Выбор стрелочной секции 1СП для искусственной разделки;1РИ;0;15;8;2;0;0;0;0;0;0;PP_105KM;1022;0;0;;@стр1;;;_USTR(1->_UIR=1);_USTR(1->_UIR=0);;0;0;;0;;;0; 0x0802;0;
15020;Искусственное размыкание секций;Выбор стрелочной секции 3СП для искусственной разделки;3РИ;0;15;8;3;0;0;0;0;0;0;PP_105KM;1022;0;0;;@стр3;;;_USTR(3->_UIR=1);_USTR(3->_UIR=0);;0;0;;0;;;0; 0x0803;0;
15021;Другие команды;Отмена набора;ОН;0;15;11;1;0;0;0;0;0;0;PP_105KM;5220;1032;0;@лмпОН;;;;;;;0;0;;0;;;0; 0x0B01;0;
15022;Другие команды;Основная СН с приема на отправление ПП105км - Силип по 1 пути;1ЧСН;0;15;11;2;0;0;0;0;0;0;PP_105KM;4196;1031;0;@нпрЧ1;;;;;;;0;0;;0;;;0; 0x0B02;0;
15023;Другие команды;Основная СН с приема на отправление ПП105км - Силип по 2 пути;2ЧСН;0;15;11;3;0;0;0;0;0;0;PP_105KM;4197;1031;0;@нпрЧ2;;;;;;;0;0;;0;;;0; 0x0B03;0;
15024;Другие команды;Основная СН с приема на отправление ПП105км - Заболотное;НСН;0;15;11;4;0;0;0;0;0;0;PP_105KM;4708;1031;0;@нпрН;;;;;;;0;0;;0;;;0; 0x0B04;0;
15025;Другие команды;Станционное управление;СУ;0;15;11;5;0;0;0;0;0;0;PP_105KM;24583;1031;0;@лмпСУ;@свтimpuls_busi_0;;;;;;0;0;;0;;;0; 0x0B05;0;
15026;Другие команды;Отмена станционного управления;ОСУ;0;15;11;6;0;0;0;0;0;0;PP_105KM;24584;1032;0;@лмпСУ;@свтimpuls_busi_1;;;;;;0;0;;0;;;0; 0x0B06;0;
15027;Другие команды;Разрешение отправления нечетного 1 путь;РО1Н;0;15;11;7;0;0;0;0;0;0;PP_105KM;0;1031;0;@лмпРОН1;@свтimpuls_busi_0;;;;;;0;0;;0;;;0; 0x0B07;0;
15028;Другие команды;Отмена разрешения отправления нечетного 1 путь;ОРО1Н;0;15;11;8;0;0;0;0;0;0;PP_105KM;0;1032;0;@лмпРОН1;@свтimpuls_busi_1;;;;;;0;0;;0;;;0; 0x0B08;0;
