NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
4001;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;4;1;1;0;0;0;0;0;0;PURIKAN;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
4002;Установка поездных маршрутов;Четный прием по Ч на 2А путь;ЧП-2АП;0;4;1;2;0;0;0;0;0;0;PURIKAN;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0102;0;
4003;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;4;1;3;0;0;0;0;0;0;PURIKAN;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0103;0;
4004;Установка поездных маршрутов;Нечетное отправление по Н2 с 2А пути;НО2АП;0;4;1;4;0;0;0;0;0;0;PURIKAN;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0104;0;
4005;Установка поездных маршрутов;Четное отправление по Ч1 с 1А пути;ЧО1АП;0;4;1;5;0;0;0;0;0;0;PURIKAN;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0105;0;
4006;Установка поездных маршрутов;Нечетный прием по Н на 1А путь;НП-1АП;0;4;1;6;0;0;0;0;0;0;PURIKAN;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0106;0;
4007;Установка поездных маршрутов;Нечетная передача no НМ1 на 1 путь;НМ1-1П;0;4;1;7;0;0;0;0;0;0;PURIKAN;81;51;0;@свтНм1;@свтЧм1;;;;;;0;0;;0;;;0; 0x0107;0;
4008;Установка поездных маршрутов;Нечетная передача no НМ1 на 2А путь;НМ1-2АП;0;4;1;8;0;0;0;0;0;0;PURIKAN;81;52;0;@свтНм1;@свтЧм2;;;;;;0;0;;0;;;0; 0x0108;0;
4009;Установка поездных маршрутов;Четная передача по ЧМ1 на 1А путь;ЧМ1-1АП;0;4;1;9;0;0;0;0;0;0;PURIKAN;51;81;0;@свтЧм1;@свтНм1;;;;;;0;0;;0;;;0; 0x0109;0;
4010;Установка поездных маршрутов;Четная передача по ЧМ2 на 1А путь;ЧМ2-1АП;0;4;1;10;0;0;0;0;0;0;PURIKAN;52;82;0;@свтЧм2;@свтНм2;;;;;;0;0;;0;;;0; 0x010A;0;
4011;Установка маневровых маршрутов;По светофору М1 на 1А путь;ММ1-1АП;0;4;3;1;0;0;0;0;0;0;PURIKAN;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0301;0;
4012;Установка маневровых маршрутов;По светофору М3 на 2А путь;ММ3-2АП;0;4;3;2;0;0;0;0;0;0;PURIKAN;0;52;0;@свтМ3;@свтЧм2;;;;;;0;0;;0;;;0; 0x0302;0;
4013;Установка маневровых маршрутов;По светофору М2 на 1 путь;ММ2-1П;0;4;3;3;0;0;0;0;0;0;PURIKAN;0;0;0;@свтМ2;@свтмН1;;;;;;0;0;;0;;;0; 0x0303;0;
4014;Установка маневровых маршрутов;По светофору М2 на 2А путь;ММ2-2АП;0;4;3;4;0;0;0;0;0;0;PURIKAN;0;0;0;@свтМ2;@свтмН2;;;;;;0;0;;0;;;0; 0x0304;0;
4015;Установка маневровых маршрутов;По светофору Н1М за М2;МН1-М2;0;4;3;5;0;0;0;0;0;0;PURIKAN;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x0305;0;
4016;Установка маневровых маршрутов;По светофору Н2М за М2;МН2-М2;0;4;3;6;0;0;0;0;0;0;PURIKAN;0;0;0;@свтмН2;@свтМ2;;;;;;0;0;;0;;;0; 0x0306;0;
4017;Установка маневровых маршрутов;По светофору Ч1М за М1;МЧ1-М1;0;4;3;7;0;0;0;0;0;0;PURIKAN;0;0;0;@свтмЧ1;@свтМ1;;;;;;0;0;;0;;;0; 0x0307;0;
4018;Установка маневровых маршрутов;По светофору ЧМ1М на 1А путь;МЧМ1-1АП;0;4;3;8;0;0;0;0;0;0;PURIKAN;0;0;0;@свтмЧм1;@свтмН1;;;;;;0;0;;0;;;0; 0x0308;0;
