NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
36001;Установка поездных маршрутов;Нечетный прием по Н с IНП на IАП путь;НП-1НП-IАП;0;16;1;1;0;0;0;0;0;0;SEKTALI;41;31;0;@свтН;@свтЧ1А;;;;;;0;0;;0;;;0; 0x0101;0;
36002;Установка поездных маршрутов;Нечетный прием по Н с IНП на 2П путь;НП-1НП-2П;0;16;1;2;0;0;0;0;0;0;SEKTALI;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0102;0;
36003;Установка поездных маршрутов;Четное отправление по Ч1А с 1АП пути на 1НП;ЧО-IАП-1НП;0;16;1;3;0;0;0;0;0;0;SEKTALI;31;41;0;@свтЧ1А;@свтН;;;;;;0;0;;0;;;0; 0x0103;0;
36004;Установка поездных маршрутов;Четное отправление по Ч2 с 2П пути на 1НП;ЧО-2П-1НП;0;16;1;4;0;0;0;0;0;0;SEKTALI;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0104;0;
36005;Установка поездных маршрутов;Четный прием по Ч c 1ЧП на IП путь;ЧП-1ЧП-IП;0;16;1;5;0;0;0;0;0;0;SEKTALI;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0105;0;
36006;Установка поездных маршрутов;Четный прием по Ч c 1ЧП на 2АП путь;ЧП-1ЧП-2АП;0;16;1;6;0;0;0;0;0;0;SEKTALI;11;22;0;@свтЧ;@свтН2А;;;;;;0;0;;0;;;0; 0x0106;0;
36007;Установка поездных маршрутов;Нечетное отправление по Н1 с IП пути на 1ЧП;НО-IП-1ЧП;0;16;1;7;0;0;0;0;0;0;SEKTALI;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0107;0;
36008;Установка поездных маршрутов;Нечетное отправление по Н2А с 2АП пути на 1ЧП;НО-2АП-1ЧП;0;16;1;8;0;0;0;0;0;0;SEKTALI;22;11;0;@свтН2А;@свтЧ;;;;;;0;0;;0;;;0; 0x0108;0;
36009;Установка поездных маршрутов;Передача по ЧМ1 с IП пути на IАП путь;ПР-IП-IАП;0;16;1;9;0;0;0;0;0;0;SEKTALI;51;81;0;@свтЧм1;@свтНм1А;;;;;;0;0;;0;;;0; 0x0109;0;
36010;Установка поездных маршрутов;Передача по ЧМ1 с IП пути на 2П путь;ПР-IП-2П;0;16;1;10;0;0;0;0;0;0;SEKTALI;51;82;0;@свтЧм1;@свтНм2;;;;;;0;0;;0;;;0; 0x010A;0;
36011;Установка поездных маршрутов;Передача по ЧМ2А с 2АП пути на IАП путь;ПР-2АП-IАП;0;16;1;11;0;0;0;0;0;0;SEKTALI;52;81;0;@свтЧм2А;@свтНм1А;;;;;;0;0;;0;;;0; 0x010B;0;
36012;Установка поездных маршрутов;Передача по ЧМ2А с 2АП пути на 2П путь;ПР-2АП-2П;0;16;1;12;0;0;0;0;0;0;SEKTALI;52;82;0;@свтЧм2А;@свтНм2;;;;;;0;0;;0;;;0; 0x010C;0;
36013;Установка поездных маршрутов;Передача по НМ1А с IАП пути на IП путь;ПР-IАП-IП;0;16;1;13;0;0;0;0;0;0;SEKTALI;81;51;0;@свтНм1А;@свтЧм1;;;;;;0;0;;0;;;0; 0x010D;0;
36014;Установка поездных маршрутов;Передача по НМ1А с IАП пути на 2АП путь;ПР-IАП-2АП;0;16;1;14;0;0;0;0;0;0;SEKTALI;81;52;0;@свтНм1А;@свтЧм2А;;;;;;0;0;;0;;;0; 0x010E;0;
36015;Установка поездных маршрутов;Передача по НМ2 с 2П пути на IП путь;ПР-2П-IП;0;16;1;15;0;0;0;0;0;0;SEKTALI;82;51;0;@свтНм2;@свтЧм1;;;;;;0;0;;0;;;0; 0x010F;0;
36016;Установка поездных маршрутов;Передача по НМ2 с 2П пути на 2АП путь;ПР-2П-2АП;0;16;1;16;0;0;0;0;0;0;SEKTALI;82;52;0;@свтНм2;@свтЧм2А;;;;;;0;0;;0;;;0; 0x0110;0;
36017;Установка маневровых маршрутов;По светофору М1 на 1АП путь;ММ1-1АП;0;16;3;1;0;0;0;0;0;0;SEKTALI;0;31;0;@свтМ1;@свтмЧ1А;;;;;;0;0;;0;;;0; 0x0301;0;
36018;Установка маневровых маршрутов;По светофору М1 на 2П путь;ММ1-2П;0;16;3;2;0;0;0;0;0;0;SEKTALI;0;0;0;@свтМ1;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0302;0;
36019;Установка маневровых маршрутов;По светофору М2 на IП путь;ММ2-IП;0;16;3;3;0;0;0;0;0;0;SEKTALI;0;21;0;@свтМ2;@свтмН1;;;;;;0;0;;0;;;0; 0x0303;0;
36020;Установка маневровых маршрутов;По светофору М2 на 2АП путь;ММ2-2АП;0;16;3;4;0;0;0;0;0;0;SEKTALI;0;0;0;@свтМ2;@свтмН2А;;;;;;0;0;;0;;;0; 0x0304;0;
36021;Установка маневровых маршрутов;По светофору М4 на 2АП путь;ММ4-2АП;0;16;3;5;0;0;0;0;0;0;SEKTALI;0;0;0;@свтМ4;@свтмН2А;;;;;;0;0;;0;;;0; 0x0305;0;
36022;Установка маневровых маршрутов;По светофору Н1 за светофор М2;МН1-М2;0;16;3;6;0;0;0;0;0;0;SEKTALI;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x0306;0;
36023;Установка маневровых маршрутов;По светофору Н2А за светофор М2;МН2А-М2;0;16;3;7;0;0;0;0;0;0;SEKTALI;0;0;0;@свтмН2А;@свтМ2;;;;;;0;0;;0;;;0; 0x0307;0;
36024;Установка маневровых маршрутов;По светофору Н2А за светофор М4;МН2А-М4;0;16;3;8;0;0;0;0;0;0;SEKTALI;0;0;0;@свтмН2А;@свтМ4;;;;;;0;0;;0;;;0; 0x0308;0;
36025;Установка маневровых маршрутов;По светофору НМ1А на 2АП путь;МНМ1А-2АП;0;16;3;9;0;0;0;0;0;0;SEKTALI;0;0;0;@свтмНм1А;@свтмЧм2А;;;;;;0;0;;0;;;0; 0x0309;0;
36026;Установка маневровых маршрутов;По светофору НМ1А на IП путь;МНМ1А-IП;0;16;3;10;0;0;0;0;0;0;SEKTALI;0;51;0;@свтмНм1А;@свтмЧм1;;;;;;0;0;;0;;;0; 0x030A;0;
36027;Установка маневровых маршрутов;По светофору НМ2 на 2АП путь;МНМ2-2АП;0;16;3;11;0;0;0;0;0;0;SEKTALI;0;0;0;@свтмНм2;@свтмЧм2А;;;;;;0;0;;0;;;0; 0x030B;0;
36028;Установка маневровых маршрутов;По светофору НМ2 на 1П путь;МНМ2-1П;0;16;3;12;0;0;0;0;0;0;SEKTALI;0;51;0;@свтмНм2;@свтмЧм1;;;;;;0;0;;0;;;0; 0x030C;0;
36029;Установка маневровых маршрутов;По светофору Ч2 за светофор М1;МЧ2-М1;0;16;3;13;0;0;0;0;0;0;SEKTALI;0;0;0;@свтмЧ2;@свтМ1;;;;;;0;0;;0;;;0; 0x030D;0;
36030;Установка маневровых маршрутов;По светофору Ч1А за светофор М1;МЧ1А-М1;0;16;3;14;0;0;0;0;0;0;SEKTALI;0;0;0;@свтмЧ1А;@свтМ1;;;;;;0;0;;0;;;0; 0x030E;0;
36031;Установка маневровых маршрутов;По светофору ЧМ1 на IАП путь;МЧМ1-IАП;0;16;3;15;0;0;0;0;0;0;SEKTALI;0;81;0;@свтмЧм1;@свтмНм1А;;;;;;0;0;;0;;;0; 0x030F;0;
36032;Установка маневровых маршрутов;По светофору ЧМ1 на 2П путь;МЧМ1-2П;0;16;3;16;0;0;0;0;0;0;SEKTALI;0;0;0;@свтмЧм1;@свтмНм2;;;;;;0;0;;0;;;0; 0x0310;0;
36033;Установка маневровых маршрутов;По светофору ЧМ2А на IАП путь;МЧМ2А-IАП;0;16;3;17;0;0;0;0;0;0;SEKTALI;0;81;0;@свтмЧм2А;@свтмНм1А;;;;;;0;0;;0;;;0; 0x0311;0;
36034;Установка маневровых маршрутов;По светофору ЧМ2А на 2П путь;МЧМ2А-2П;0;16;3;18;0;0;0;0;0;0;SEKTALI;0;0;0;@свтмЧм2А;@свтмНм2;;;;;;0;0;;0;;;0; 0x0312;0;
36035;Установка поездных маршрутов в замкнутом маршруте;По светофору Н;ВУПН;0;16;1;17;0;0;0;0;0;0;SEKTALI;1007;41;0;;@свтН;;;_USTR(Н->Миг-е=1);_USTR(Н->Миг-е=0);;0;0;;0;;;0; 0x0111;0;
36036;Установка поездных маршрутов в замкнутом маршруте;По светофору Ч1А;ВУПЧ1А;0;16;1;18;0;0;0;0;0;0;SEKTALI;1007;31;0;;@свтЧ1А;;;_USTR(Ч1А->Миг-е=1);_USTR(Ч1А->Миг-е=0);;0;0;;0;;;0; 0x0112;0;
