NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
11001;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;11;1;1;0;0;0;0;0;0;SETI;11;81;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
11002;Установка поездных маршрутов;Четный прием по Ч на 3А путь;ЧП-3АП;0;11;1;2;0;0;0;0;0;0;SETI;11;23;0;@свтЧ;@свтН3;;;;;;0;0;;0;;;0; 0x0102;0;
11003;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;11;1;3;0;0;0;0;0;0;SETI;81;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0103;0;
11004;Установка поездных маршрутов;Нечетное отправление по Н3 с 3А пути;НО3АП;0;11;1;4;0;0;0;0;0;0;SETI;23;11;0;@свтН3;@свтЧ;;;;;;0;0;;0;;;0; 0x0104;0;
11005;Установка поездных маршрутов;Четное отправление по Ч1 с 1А пути;ЧО1АП;0;11;1;5;0;0;0;0;0;0;SETI;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0105;0;
11006;Установка поездных маршрутов;Четное отправление по Ч3 с 3 пути;ЧО3П;0;11;1;6;0;0;0;0;0;0;SETI;33;41;0;@свтЧ3;@свтН;;;;;;0;0;;0;;;0; 0x0106;0;
11007;Установка поездных маршрутов;Четное отправление по Ч5 с 5 пути;ЧО5П;0;11;1;7;0;0;0;0;0;0;SETI;35;41;0;@свтЧ5;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
11008;Установка поездных маршрутов;Четное отправление по Ч7 с 7 пути;ЧО7П;0;11;1;8;0;0;0;0;0;0;SETI;37;41;0;@свтЧ7;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
11009;Установка поездных маршрутов;Нечетный прием по Н на 1А путь;НП-1АП;0;11;1;9;0;0;0;0;0;0;SETI;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0109;0;
11010;Установка поездных маршрутов;Нечетный прием по Н на 3 путь;НП-3П;0;11;1;10;0;0;0;0;0;0;SETI;41;33;0;@свтН;@свтЧ3;;;;;;0;0;;0;;;0; 0x010A;0;
11011;Установка поездных маршрутов;Нечетный прием по Н на 5 путь;НП-5П;0;11;1;11;0;0;0;0;0;0;SETI;41;35;0;@свтН;@свтЧ5;;;;;;0;0;;0;;;0; 0x010B;0;
11012;Установка поездных маршрутов;Нечетный прием по Н на 7 путь;НП-7П;0;11;1;12;0;0;0;0;0;0;SETI;41;37;0;@свтН;@свтЧ7;;;;;;0;0;;0;;;0; 0x010C;0;
11013;Установка поездных маршрутов;Четная передача по ЧМ1 на 1А путь;ЧМ1-1АП;0;11;1;13;0;0;0;0;0;0;SETI;51;81;0;@свтЧм1;@свтНм1;;;;;;0;0;;0;;;0; 0x010D;0;
11014;Установка поездных маршрутов;Четная передача по ЧМ1 на 3 путь;ЧМ1-3П;0;11;1;14;0;0;0;0;0;0;SETI;51;0;0;@свтЧм1;@свтНм3;;;;;;0;0;;0;;;0; 0x010E;0;
11015;Установка поездных маршрутов;Четная передача по ЧМ1 на 5 путь;ЧМ1-5П;0;11;1;15;0;0;0;0;0;0;SETI;51;0;0;@свтЧм1;@свтНм5;;;;;;0;0;;0;;;0; 0x010F;0;
11016;Установка поездных маршрутов;Четная передача по ЧМ1 на 7 путь;ЧМ1-7П;0;11;1;16;0;0;0;0;0;0;SETI;51;0;0;@свтЧм1;@свтНм7;;;;;;0;0;;0;;;0; 0x0110;0;
