NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
6001;Установка поездных маршрутов;Нечетный прием по 1Н с IНГП на IАП путь;НП-IНГП-IАП;0;6;1;1;0;0;0;0;0;0;SILIP;41;31;0;@свт1Н;@свтЧ1А;;;;;;0;0;;0;;;0; 0x0101;0;
6002;Установка поездных маршрутов;Нечетный прием по 1Н с IНГП на IIАП путь;НП-IНГП-IIАП;0;6;1;2;0;0;0;0;0;0;SILIP;41;32;0;@свт1Н;@свтЧ2А;;;;;;0;0;;0;;;0; 0x0102;0;
6003;Установка поездных маршрутов;Четное отправление по Ч1А с IАП пути на IНГП;ЧО-IАП-IНГП;0;6;1;3;0;0;0;0;0;0;SILIP;31;41;0;@свтЧ1А;@свт1Н;;;;;;0;0;;0;;;0; 0x0103;0;
6004;Установка поездных маршрутов;Четное отправление по Ч2А с IIАП пути на IНГП;ЧО-IIАП-IНГП;0;6;1;4;0;0;0;0;0;0;SILIP;32;41;0;@свтЧ2А;@свт1Н;;;;;;0;0;;0;;;0; 0x0104;0;
6005;Установка поездных маршрутов;Четное отправление по Ч2А с IIАП пути на IIНГП;ЧО-IIАП-IIНГП;0;6;1;5;0;0;0;0;0;0;SILIP;32;42;0;@свтЧ2А;@свт2Н;;;;;;0;0;;0;;;0; 0x0105;0;
6006;Установка поездных маршрутов;Нечетный прием по 2Н с IIНГП на IIАП путь;НП-IIНГП-IIАП;0;6;1;6;0;0;0;0;0;0;SILIP;42;32;0;@свт2Н;@свтЧ2А;;;;;;0;0;;0;;;0; 0x0106;0;
6007;Установка поездных маршрутов;Четный прием по Ч c ЧГП на IП путь;ЧП-ЧГП-IП;0;6;1;7;0;0;0;0;0;0;SILIP;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0107;0;
6008;Установка поездных маршрутов;Четный прием по Ч c ЧГП на IIП путь;ЧП-ЧГП-IIП;0;6;1;8;0;0;0;0;0;0;SILIP;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0108;0;
6009;Установка поездных маршрутов;Нечетное отправление по Н1 с IП пути на ЧГП;НО-IП-ЧГП;0;6;1;9;0;0;0;0;0;0;SILIP;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0109;0;
6010;Установка поездных маршрутов;Нечетное отправление по Н2 с IIП пути на ЧГП;НО-IIП-ЧГП;0;6;1;10;0;0;0;0;0;0;SILIP;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x010A;0;
