NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
28001;Установка поездных маршрутов;Нечетный прием по Ч на 1 путь;ЧП-1П;0;8;1;1;0;0;0;0;0;0;SULUK;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
28002;Установка поездных маршрутов;Нечетный прием по Ч на 2 путь;ЧП-2П;0;8;1;2;0;0;0;0;0;0;SULUK;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0102;0;
28003;Установка поездных маршрутов;Нечетный прием по Ч на 3 путь;ЧП-3П;0;8;1;3;0;0;0;0;0;0;SULUK;11;23;0;@свтЧ;@свтН3;;;;;;0;0;;0;;;0; 0x0103;0;
28004;Установка поездных маршрутов;Нечетный прием по Ч на 4 путь;ЧП-4П;0;8;1;4;0;0;0;0;0;0;SULUK;11;24;0;@свтЧ;@свтН4;;;;;;0;0;;0;;;0; 0x0104;0;
28005;Установка поездных маршрутов;Нечетный прием по Ч на 5 путь;ЧП-5П;0;8;1;5;0;0;0;0;0;0;SULUK;11;25;0;@свтЧ;@свтН5;;;;;;0;0;;0;;;0; 0x0105;0;
28006;Установка поездных маршрутов;Нечетный прием по Ч на 6 путь;ЧП-6П;0;8;1;6;0;0;0;0;0;0;SULUK;11;26;0;@свтЧ;@свтН6;;;;;;0;0;;0;;;0; 0x0106;0;
28007;Установка поездных маршрутов;Нечетный прием по Ч на 7 путь;ЧП-7П;0;8;1;7;0;0;0;0;0;0;SULUK;11;27;0;@свтЧ;@свтН7;;;;;;0;0;;0;;;0; 0x0107;0;
28008;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;8;1;8;0;0;0;0;0;0;SULUK;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0108;0;
28009;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;8;1;9;0;0;0;0;0;0;SULUK;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0109;0;
28010;Установка поездных маршрутов;Нечетное отправление по Н3 с 3 пути;НО3П;0;8;1;10;0;0;0;0;0;0;SULUK;23;11;0;@свтН3;@свтЧ;;;;;;0;0;;0;;;0; 0x010A;0;
28011;Установка поездных маршрутов;Нечетное отправление по Н4 с 4 пути;НО4П;0;8;1;11;0;0;0;0;0;0;SULUK;24;11;0;@свтН4;@свтЧ;;;;;;0;0;;0;;;0; 0x010B;0;
