NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
33001;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;13;1;1;0;0;0;0;0;0;URKALTU;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
33002;Установка поездных маршрутов;Четный прием по Ч на 2 путь;ЧП-2П;0;13;1;2;0;0;0;0;0;0;URKALTU;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0102;0;
33003;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;13;1;3;0;0;0;0;0;0;URKALTU;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0103;0;
33004;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;13;1;4;0;0;0;0;0;0;URKALTU;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0104;0;
33005;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;13;1;5;0;0;0;0;0;0;URKALTU;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0105;0;
33006;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;13;1;6;0;0;0;0;0;0;URKALTU;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0106;0;
33007;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;13;1;7;0;0;0;0;0;0;URKALTU;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
33008;Установка поездных маршрутов;Четное отправление по Ч2 с 2пути;ЧО2П;0;13;1;8;0;0;0;0;0;0;URKALTU;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
33009;Установка маневровых маршрутов;По светофору М2 на 1 путь;ММ2-1П;0;13;3;1;0;0;0;0;0;0;URKALTU;0;21;0;@свтМ2;@свтмН1;;;;;;0;0;;0;;;0; 0x0301;0;
33010;Установка маневровых маршрутов;По светофору М2 на 2 путь;ММ2-2П;0;13;3;2;0;0;0;0;0;0;URKALTU;0;22;0;@свтМ2;@свтмН2;;;;;;0;0;;0;;;0; 0x0302;0;
33011;Установка маневровых маршрутов;По светофору М1 за М3;ММ1-М3;0;13;3;3;0;0;0;0;0;0;URKALTU;0;0;0;@свтМ1;@свтМ3;;;;;;0;0;;0;;;0; 0x0303;0;
33012;Установка маневровых маршрутов;По светофору М1 на 1 путь;ММ1-1П;0;13;3;4;0;0;0;0;0;0;URKALTU;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0304;0;
33013;Установка маневровых маршрутов;По светофору М1 на 2 путь;ММ1-2П;0;13;3;5;0;0;0;0;0;0;URKALTU;0;0;0;@свтМ1;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0305;0;
33014;Установка маневровых маршрутов;По светофору М3 за М1;ММ3-М1;0;13;3;6;0;0;0;0;0;0;URKALTU;0;0;0;@свтМ3;@свтМ1;;;;;;0;0;;0;;;0; 0x0306;0;
33015;Установка маневровых маршрутов;По светофору Н1 за М2;МН1-М2;0;13;3;7;0;0;0;0;0;0;URKALTU;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x0307;0;
33016;Установка маневровых маршрутов;По светофору Н2 за М2;МН2-М2;0;13;3;8;0;0;0;0;0;0;URKALTU;0;0;0;@свтмН2;@свтМ2;;;;;;0;0;;0;;;0; 0x0308;0;
33017;Установка маневровых маршрутов;По светофору Ч1 за М1;МЧ1-М1;0;13;3;9;0;0;0;0;0;0;URKALTU;0;0;0;@свтмЧ1;@свтМ1;;;;;;0;0;;0;;;0; 0x0309;0;
33018;Установка маневровых маршрутов;По светофору Ч2 за М1;МЧ2-М1;0;13;3;10;0;0;0;0;0;0;URKALTU;0;0;0;@свтмЧ2;@свтМ1;;;;;;0;0;;0;;;0; 0x030A;0;
33019;Отмена поездных маршрутов;По светофору Ч;ОПЧ;0;13;2;1;0;0;0;0;0;0;URKALTU;12909;11;0;;@свтЧ;;;_USTR(Ч->Миг-е=1);_USTR(Ч->Миг-е=0);;0;0;;0;;;0; 0x0201;0;
