NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
10001;Установка поездных маршрутов;Нечетный прием по Н с НГП1 на 1П путь;НП-НГП1-1П;0;10;1;1;0;0;0;0;0;0;FEDOSEEV;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0101;0;
10002;Установка поездных маршрутов;Нечетный прием по Н с НГП1 на 2П путь;НП-НГП1-2П;0;10;1;2;0;0;0;0;0;0;FEDOSEEV;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0102;0;
10003;Установка поездных маршрутов;Четное отправление по Ч1 с 1П пути на НГП1;ЧО-1П-НГП1;0;10;1;3;0;0;0;0;0;0;FEDOSEEV;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0103;0;
10004;Установка поездных маршрутов;Четное отправление по Ч2 с 2П пути на НГП1;ЧО-2П-НГП1;0;10;1;4;0;0;0;0;0;0;FEDOSEEV;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0104;0;
10005;Установка поездных маршрутов;Нечетное отправление по Н1А с 1АП пути на ЧГП1;НО-1АП-ЧГП1;0;10;1;5;0;0;0;0;0;0;FEDOSEEV;21;11;0;@свтН1А;@свтЧ;;;;;;0;0;;0;;;0; 0x0105;0;
10006;Установка поездных маршрутов;Нечетное отправление по Н2А с 2АП пути на ЧГП1;НО-2АП-ЧГП1;0;10;1;6;0;0;0;0;0;0;FEDOSEEV;22;11;0;@свтН2А;@свтЧ;;;;;;0;0;;0;;;0; 0x0106;0;
10007;Установка поездных маршрутов;Четный прием по Ч c ЧГП1 на 1АП путь;ЧП-ЧГП1-1АП;0;10;1;7;0;0;0;0;0;0;FEDOSEEV;11;21;0;@свтЧ;@свтН1А;;;;;;0;0;;0;;;0; 0x0107;0;
10008;Установка поездных маршрутов;Четный прием по Ч c ЧГП1 на 2АП путь;ЧП-ЧГП1-2АП;0;10;1;8;0;0;0;0;0;0;FEDOSEEV;11;22;0;@свтЧ;@свтН2А;;;;;;0;0;;0;;;0; 0x0108;0;
10009;Установка поездных маршрутов;Передача по НМ1 с 1П пути на 1АП путь;ПР-1П-1АП;0;10;1;9;0;0;0;0;0;0;FEDOSEEV;81;51;0;@свтНм1;@свтЧм1А;;;;;;0;0;;0;;;0; 0x0109;0;
10010;Установка поездных маршрутов;Передача по НМ1 с 1П пути на 2АП путь;ПР-1П-2АП;0;10;1;10;0;0;0;0;0;0;FEDOSEEV;81;52;0;@свтНм1;@свтЧм2А;;;;;;0;0;;0;;;0; 0x010A;0;
10011;Установка поездных маршрутов;Передача по НМ2 с 2П пути на 1АП путь;ПР-2П-1АП;0;10;1;11;0;0;0;0;0;0;FEDOSEEV;82;51;0;@свтНм2;@свтЧм1А;;;;;;0;0;;0;;;0; 0x010B;0;
10012;Установка поездных маршрутов;Передача по НМ2 с 2П пути на 2АП путь;ПР-2П-2АП;0;10;1;12;0;0;0;0;0;0;FEDOSEEV;82;52;0;@свтНм2;@свтЧм2А;;;;;;0;0;;0;;;0; 0x010C;0;
10013;Установка поездных маршрутов;Передача по ЧМ1А с 1АП пути на 1П путь;ПР-1АП-1П;0;10;1;13;0;0;0;0;0;0;FEDOSEEV;51;81;0;@свтЧм1А;@свтНм1;;;;;;0;0;;0;;;0; 0x010D;0;
10014;Установка поездных маршрутов;Передача по ЧМ1А с 1АП пути на 2П путь;ПР-1АП-2П;0;10;1;14;0;0;0;0;0;0;FEDOSEEV;51;82;0;@свтЧм1А;@свтНм2;;;;;;0;0;;0;;;0; 0x010E;0;
10015;Установка поездных маршрутов;Передача по ЧМ2А с 2АП пути на 1П путь;ПР-2АП-1П;0;10;1;15;0;0;0;0;0;0;FEDOSEEV;52;81;0;@свтЧм2А;@свтНм1;;;;;;0;0;;0;;;0; 0x010F;0;
10016;Установка поездных маршрутов;Передача по ЧМ2А с 2АП пути на 2П путь;ПР-2АП-2П;0;10;1;16;0;0;0;0;0;0;FEDOSEEV;52;82;0;@свтЧм2А;@свтНм2;;;;;;0;0;;0;;;0; 0x0110;0;
10017;Установка маневровых маршрутов;По светофору М1 на 1П путь;ММ1-1П;0;10;3;1;0;0;0;0;0;0;FEDOSEEV;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0301;0;
10018;Установка маневровых маршрутов;По светофору М1 на 2П путь;ММ1-2П;0;10;3;2;0;0;0;0;0;0;FEDOSEEV;0;0;0;@свтМ1;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0302;0;
10019;Установка маневровых маршрутов;По светофору М3 на 2П путь;ММ3-2П;0;10;3;3;0;0;0;0;0;0;FEDOSEEV;0;0;0;@свтМ3;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0303;0;
10020;Установка маневровых маршрутов;По светофору Н1А за светофор М2;МН1А-М2;0;10;3;4;0;0;0;0;0;0;FEDOSEEV;0;0;0;@свтмН1А;@свтМ2;;;;;;0;0;;0;;;0; 0x0304;0;
10021;Установка маневровых маршрутов;По светофору Н2А за светофор М4;МН2А-М4;0;10;3;5;0;0;0;0;0;0;FEDOSEEV;0;0;0;@свтмН2А;@свтМ4;;;;;;0;0;;0;;;0; 0x0305;0;
10022;Установка маневровых маршрутов;По светофору Н2А за светофор М2;МН2А-М2;0;10;3;6;0;0;0;0;0;0;FEDOSEEV;0;0;0;@свтмН2А;@свтМ2;;;;;;0;0;;0;;;0; 0x0306;0;
10023;Установка маневровых маршрутов;По светофору НМ1 на 1АП путь;МНМ1-1АП;0;10;3;7;0;0;0;0;0;0;FEDOSEEV;0;0;0;@свтмНм1;@свтмЧм1А;;;;;;0;0;;0;;;0; 0x0307;0;
