NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
15001;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;15;1;1;0;0;0;0;0;0;HALGASO;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0101;0;
15002;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;15;1;2;0;0;0;0;0;0;HALGASO;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0102;0;
15003;Установка поездных маршрутов;Нечетный прием по Н на 3 путь;НП-3П;0;15;1;3;0;0;0;0;0;0;HALGASO;41;33;0;@свтН;@свтЧ3;;;;;;0;0;;0;;;0; 0x0103;0;
15004;Установка поездных маршрутов;Нечетный прием по Н на 4 путь;НП-4П;0;15;1;4;0;0;0;0;0;0;HALGASO;41;34;0;@свтН;@свтЧ4;;;;;;0;0;;0;;;0; 0x0104;0;
15005;Установка поездных маршрутов;Нечетный прием по Н на 5 путь;НП-5П;0;15;1;5;0;0;0;0;0;0;HALGASO;41;35;0;@свтН;@свтЧ5;;;;;;0;0;;0;;;0; 0x0105;0;
15006;Установка поездных маршрутов;Нечетный прием по Н на 6 путь;НП-6П;0;15;1;6;0;0;0;0;0;0;HALGASO;41;0;0;@свтН;@свтЧ6;;;;;;0;0;;0;;;0; 0x0106;0;
15007;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;15;1;7;0;0;0;0;0;0;HALGASO;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
15008;Установка поездных маршрутов;Четное отправление по Ч2 с 2 пути;ЧО2П;0;15;1;8;0;0;0;0;0;0;HALGASO;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
15009;Установка поездных маршрутов;Четное отправление по Ч3 с 3 пути;ЧО3П;0;15;1;9;0;0;0;0;0;0;HALGASO;33;41;0;@свтЧ3;@свтН;;;;;;0;0;;0;;;0; 0x0109;0;
15010;Установка поездных маршрутов;Четное отправление по Ч4 с 4 пути;ЧО4П;0;15;1;10;0;0;0;0;0;0;HALGASO;34;41;0;@свтЧ4;@свтН;;;;;;0;0;;0;;;0; 0x010A;0;
15011;Установка поездных маршрутов;Четное отправление по Ч5 с 5 пути;ЧО5П;0;15;1;11;0;0;0;0;0;0;HALGASO;35;41;0;@свтЧ5;@свтН;;;;;;0;0;;0;;;0; 0x010B;0;
15012;Установка поездных маршрутов;Четное отправление по Ч6 с 6 пути;ЧО6П;0;15;1;12;0;0;0;0;0;0;HALGASO;46;41;0;@свтЧ6;@свтН;;;;;;0;0;;0;;;0; 0x010C;0;
15013;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;15;1;13;0;0;0;0;0;0;HALGASO;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x010D;0;
15014;Установка поездных маршрутов;Четный прием по Ч на 2 путь;ЧП-2П;0;15;1;14;0;0;0;0;0;0;HALGASO;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x010E;0;
15015;Установка поездных маршрутов;Четный прием по Ч на 3 путь;ЧП-3П;0;15;1;15;0;0;0;0;0;0;HALGASO;11;23;0;@свтЧ;@свтН3;;;;;;0;0;;0;;;0; 0x010F;0;
15016;Установка поездных маршрутов;Четный прием по Ч на 4 путь;ЧП-4П;0;15;1;16;0;0;0;0;0;0;HALGASO;11;24;0;@свтЧ;@свтН4;;;;;;0;0;;0;;;0; 0x0110;0;
15017;Установка поездных маршрутов;Четный прием по Ч на 5 путь;ЧП-5П;0;15;1;17;0;0;0;0;0;0;HALGASO;11;25;0;@свтЧ;@свтН5;;;;;;0;0;;0;;;0; 0x0111;0;
15018;Установка поездных маршрутов;Четный прием по Ч на 6 путь;ЧП-6П;0;15;1;18;0;0;0;0;0;0;HALGASO;11;26;0;@свтЧ;@свтН6;;;;;;0;0;;0;;;0; 0x0112;0;
15019;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;15;1;19;0;0;0;0;0;0;HALGASO;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0113;0;
15020;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;15;1;20;0;0;0;0;0;0;HALGASO;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0114;0;
15021;Установка поездных маршрутов;Нечетное отправление по НЗ с 3 пути;НО3П;0;15;1;21;0;0;0;0;0;0;HALGASO;23;11;0;@свтН3;@свтЧ;;;;;;0;0;;0;;;0; 0x0115;0;
15022;Установка поездных маршрутов;Нечетное отправление по Н4 с 4 пути;НО4П;0;15;1;22;0;0;0;0;0;0;HALGASO;24;11;0;@свтН4;@свтЧ;;;;;;0;0;;0;;;0; 0x0116;0;
15023;Установка поездных маршрутов;Нечетное отправление по Н5 с 5 пути;НО5П;0;15;1;23;0;0;0;0;0;0;HALGASO;25;11;0;@свтН5;@свтЧ;;;;;;0;0;;0;;;0; 0x0117;0;
15024;Установка поездных маршрутов;Нечетное отправление по Н6 с 6 пути;НО6П;0;15;1;24;0;0;0;0;0;0;HALGASO;26;11;0;@свтН6;@свтЧ;;;;;;0;0;;0;;;0; 0x0118;0;
15025;Установка маневровых маршрутов;По светофору М1 до М15;ММ1-М15;0;15;3;1;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ1;@свтМ15;;;;;;0;0;;0;;;0; 0x0301;0;
15026;Установка маневровых маршрутов;По светофору М1 на 1 путь;ММ1-1П;0;15;3;2;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0302;0;
15027;Установка маневровых маршрутов;По светофору М1 до М17;ММ1-М17;0;15;3;3;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ1;@свтМ17;;;;;;0;0;;0;;;0; 0x0303;0;
15028;Установка маневровых маршрутов;По светофору М1 до М13;ММ1-М13;0;15;3;4;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ1;@свтМ13;;;;;;0;0;;0;;;0; 0x0304;0;
15029;Установка маневровых маршрутов;По светофору М5 до М15;ММ5-М15;0;15;3;5;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ5;@свтМ15;;;;;;0;0;;0;;;0; 0x0305;0;
15030;Установка маневровых маршрутов;По светофору М5 на 1 путь;ММ5-1П;0;15;3;6;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ5;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0306;0;
15031;Установка маневровых маршрутов;По светофору М5 до M17;ММ5-М17;0;15;3;7;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ5;@свтМ17;;;;;;0;0;;0;;;0; 0x0307;0;
15032;Установка маневровых маршрутов;По светофору М5 до М13;ММ5-М13;0;15;3;8;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ5;@свтМ13;;;;;;0;0;;0;;;0; 0x0308;0;
15033;Установка маневровых маршрутов;По светофору М7 до М15;ММ7-М15;0;15;3;9;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ7;@свтМ15;;;;;;0;0;;0;;;0; 0x0309;0;
15034;Установка маневровых маршрутов;По светофору М7 на 1 путь;ММ7-1П;0;15;3;10;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ7;@свтмЧ1;;;;;;0;0;;0;;;0; 0x030A;0;
15035;Установка маневровых маршрутов;По светофору М7 до М17;ММ7-М17;0;15;3;11;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ7;@свтМ17;;;;;;0;0;;0;;;0; 0x030B;0;
15036;Установка маневровых маршрутов;По светофору М11 за М1;ММ11-М1;0;15;3;12;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ11;@свтМ1;;;;;;0;0;;0;;;0; 0x030C;0;
15037;Установка маневровых маршрутов;По светофору М11 за М5;ММ11-М5;0;15;3;13;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ11;@свтМ5;;;;;;0;0;;0;;;0; 0x030D;0;
15038;Установка маневровых маршрутов;По светофору М13 до М17;ММ13-М17;0;15;3;14;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ13;@свтМ17;;;;;;0;0;;0;;;0; 0x030E;0;
15039;Установка маневровых маршрутов;По светофору М13 за М19;ММ13-М19;0;15;3;15;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ13;@свтМ19;;;;;;0;0;;0;;;0; 0x030F;0;
15040;Установка маневровых маршрутов;По светофору М13 за М21;ММ13-М21;0;15;3;16;0;0;0;0;0;0;HALGASO;0;0;0;@свтМ13;@свтМ21;;;;;;0;0;;0;;;0; 0x0310;0;
