NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
22001;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;2;1;1;0;0;0;0;0;0;CHEMCHUK;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
22002;Установка поездных маршрутов;Четный прием по Ч на 2 путь;ЧП-2П;0;2;1;2;0;0;0;0;0;0;CHEMCHUK;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0102;0;
22003;Установка поездных маршрутов;Четный прием по Ч на 5 путь;ЧП-5П;0;2;1;3;0;0;0;0;0;0;CHEMCHUK;11;25;0;@свтЧ;@свтН5;;;;;;0;0;;0;;;0; 0x0103;0;
22004;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;2;1;4;0;0;0;0;0;0;CHEMCHUK;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0104;0;
22005;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;2;1;5;0;0;0;0;0;0;CHEMCHUK;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0105;0;
22006;Установка поездных маршрутов;Нечетное отправление по Н5 с 5 пути;НО5П;0;2;1;6;0;0;0;0;0;0;CHEMCHUK;25;11;0;@свтН5;@свтЧ;;;;;;0;0;;0;;;0; 0x0106;0;
22007;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;2;1;7;0;0;0;0;0;0;CHEMCHUK;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
22008;Установка поездных маршрутов;Четное отправление по Ч2 с 2 пути;ЧО2П;0;2;1;8;0;0;0;0;0;0;CHEMCHUK;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
22009;Установка поездных маршрутов;Четное отправление по Ч5 с 5 пути;ЧО5П;0;2;1;9;0;0;0;0;0;0;CHEMCHUK;35;41;0;@свтЧ5;@свтН;;;;;;0;0;;0;;;0; 0x0109;0;
22010;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;2;1;10;0;0;0;0;0;0;CHEMCHUK;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x010A;0;
22011;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;2;1;11;0;0;0;0;0;0;CHEMCHUK;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x010B;0;
22012;Установка поездных маршрутов;Нечетный прием по Н на 5 путь;НП-5П;0;2;1;12;0;0;0;0;0;0;CHEMCHUK;41;35;0;@свтН;@свтЧ5;;;;;;0;0;;0;;;0; 0x010C;0;
22013;Установка маневровых маршрутов;По светофору М2 на 1П;ММ2-1П;0;2;3;1;0;0;0;0;0;0;CHEMCHUK;0;21;0;@свтМ2;@свтмН1;;;;;;0;0;;0;;;0; 0x0301;0;
22014;Установка маневровых маршрутов;По светофору М2 на 2П;ММ2-2П;0;2;3;2;0;0;0;0;0;0;CHEMCHUK;0;22;0;@свтМ2;@свтмН2;;;;;;0;0;;0;;;0; 0x0302;0;
22015;Установка маневровых маршрутов;По светофору М2 на 5П;ММ2-5П;0;2;3;3;0;0;0;0;0;0;CHEMCHUK;0;25;0;@свтМ2;@свтмН5;;;;;;0;0;;0;;;0; 0x0303;0;
22016;Установка маневровых маршрутов;По светофору М4 на 5П;ММ4-5П;0;2;3;4;0;0;0;0;0;0;CHEMCHUK;0;25;0;@свтМ4;@свтмН5;;;;;;0;0;;0;;;0; 0x0304;0;
22017;Установка маневровых маршрутов;По светофору Н1 за М2;МН1-М2;0;2;3;5;0;0;0;0;0;0;CHEMCHUK;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x0305;0;
22018;Установка маневровых маршрутов;По светофору Н2 за М2;МН2-М2;0;2;3;6;0;0;0;0;0;0;CHEMCHUK;0;0;0;@свтмН2;@свтМ2;;;;;;0;0;;0;;;0; 0x0306;0;
22019;Установка маневровых маршрутов;По светофору Н5 за М2;МН5-М2;0;2;3;7;0;0;0;0;0;0;CHEMCHUK;0;0;0;@свтмН5;@свтМ2;;;;;;0;0;;0;;;0; 0x0307;0;
22020;Установка маневровых маршрутов;По светофору Н5 за М4;МН5-М4;0;2;3;8;0;0;0;0;0;0;CHEMCHUK;0;0;0;@свтмН5;@свтМ4;;;;;;0;0;;0;;;0; 0x0308;0;
22021;Установка маневровых маршрутов;По светофору М1 на 1П;ММ1-1П;0;2;3;9;0;0;0;0;0;0;CHEMCHUK;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0309;0;
