NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
10801;Другие команды;Отмена разрешения на отправление четное по 1 пути;ОДСЧО;0;1;10;15;0;0;0;0;0;0;SHAHTAUM;26880;0;0;@лмпРОЧ;@свтimpuls_busi_1;;;;;;0;0;;0;;;0; 0x0A0F;0;
10802;Другие команды;Разрешение отправления чётное по 1 пути;ДСЧО;0;1;10;23;0;0;0;0;0;0;SHAHTAUM;28160;0;0;@лмпРОЧ;@свтimpuls_busi_0;;;;;;0;0;;0;;;0; 0x0A17;0;
10803;Другие команды;Отмена разрешения на отправление четное по 2 пути;ОДСЧдО;0;1;10;27;0;0;0;0;0;0;SHAHTAUM;26881;0;0;@лмпОДСЧдО;;;;;;;0;0;;0;;;0; 0x0A1B;0;
10804;Другие команды;Разрешение отправления чётное по 2 пути;ДСЧдО;0;1;10;29;0;0;0;0;0;0;SHAHTAUM;28161;0;0;@лмпДСЧдО;;;;;;;0;0;;0;;;0; 0x0A1D;0;
10805;Другие команды;Отмена разрешения на отправление нечетное по 2 пути;ОДСНО;0;1;10;30;0;0;0;0;0;0;SHAHTAUM;27916;0;0;@лмпРОН;@свтimpuls_busi_1;;;;;;0;0;;0;;;0; 0x0A1E;0;
10806;Другие команды;Разрешение отправления нечетное по 2 пути;ДСНО;0;1;10;39;0;0;0;0;0;0;SHAHTAUM;26625;0;0;@лмпРОН;@свтimpuls_busi_0;;;;;;0;0;;0;;;0; 0x0A27;0;
10807;Другие команды;Отмена разрешения на отправление нечетное по 1 пути;ОДСНБО;0;1;10;43;0;0;0;0;0;0;SHAHTAUM;27904;0;0;@лмпОДСНБО;;;;;;;0;0;;0;;;0; 0x0A2B;0;
10808;Другие команды;Разрешение отправления  нечетное по 1 пути;ДСНБО;0;1;10;45;0;0;0;0;0;0;SHAHTAUM;26624;0;0;@лмпДСНБО;;;;;;;0;0;;0;;;0; 0x0A2D;0;
11001;Диагностические команды;Включить контроль станции;ВК;0;1;15;15;0;0;0;0;0;0;SHAHTAUM;0;0;0;@лмпВК;;;;;;;0;0;;0;;;0; 0x0F0F;0;
11002;Диагностические команды;Отключить контроль станции;ОК;0;1;15;23;0;0;0;0;0;0;SHAHTAUM;0;0;0;@лмпОК;;;;;;;0;0;;1;;;0; 0x0F17;0;
11003;Диагностические команды;Включить частоту;ВЧ;0;1;15;27;0;0;0;0;0;0;SHAHTAUM;0;0;0;@лмпВЧ;;;;;;;0;0;;1;;;0; 0x0F1B;0;
11004;Диагностические команды;Отключить частоту;ОЧ;0;1;15;29;0;0;0;0;0;0;SHAHTAUM;0;0;0;@лмпОЧ;;;;;;;0;0;;1;;;0; 0x0F1D;0;
