NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
1001;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;1;1;1;0;0;0;0;0;0;SHTURM;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0101;0;
1002;Установка поездных маршрутов;Четный прием по Ч на 2А путь;ЧП-2АП;0;1;1;2;0;0;0;0;0;0;SHTURM;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0102;0;
1003;Установка поездных маршрутов;Четный прием по Ч на 3 путь;ЧП-3П;0;1;1;3;0;0;0;0;0;0;SHTURM;11;23;0;@свтЧ;@свтН3;;;;;;0;0;;0;;;0; 0x0103;0;
1004;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;1;1;4;0;0;0;0;0;0;SHTURM;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0104;0;
1005;Установка поездных маршрутов;Нечетное отправление по Н2 с 2А пути;НО2АП;0;1;1;5;0;0;0;0;0;0;SHTURM;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0105;0;
1006;Установка поездных маршрутов;Нечетное отправление по Н3 с 3 пути;НО3П;0;1;1;6;0;0;0;0;0;0;SHTURM;23;11;0;@свтН3;@свтЧ;;;;;;0;0;;0;;;0; 0x0106;0;
1007;Установка поездных маршрутов;Четное отправление по Ч1 с 1А пути;ЧО1АП;0;1;1;7;0;0;0;0;0;0;SHTURM;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
1008;Установка поездных маршрутов;Четное отправление по Ч2 с 2 пути;ЧО2П;0;1;1;8;0;0;0;0;0;0;SHTURM;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
1009;Установка поездных маршрутов;Нечетный прием по Н на 1А путь;НП-1АП;0;1;1;9;0;0;0;0;0;0;SHTURM;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0109;0;
1010;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;1;1;10;0;0;0;0;0;0;SHTURM;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x010A;0;
1011;Установка поездных маршрутов;Нечетная передача по НМ1 на 1 путь;НМ1-1П;0;1;1;11;0;0;0;0;0;0;SHTURM;81;51;0;@свтНм1;@свтЧм1;;;;;;0;0;;0;;;0; 0x010B;0;
1012;Установка поездных маршрутов;Нечетная передача по НМ1 на 2А путь;НМ1-2АП;0;1;1;12;0;0;0;0;0;0;SHTURM;81;52;0;@свтНм1;@свтЧм2;;;;;;0;0;;0;;;0; 0x010C;0;
1013;Установка поездных маршрутов;Нечетная передача по НМ1 на 3 путь;НМ1-3П;0;1;1;13;0;0;0;0;0;0;SHTURM;81;53;0;@свтНм1;@свтЧм3;;;;;;0;0;;0;;;0; 0x010D;0;
1014;Установка поездных маршрутов;Нечетная передача по НМ2 на 1 путь;НМ2-1П;0;1;1;14;0;0;0;0;0;0;SHTURM;82;51;0;@свтНм2;@свтЧм1;;;;;;0;0;;0;;;0; 0x010E;0;
1015;Установка поездных маршрутов;Нечетная передача по НМ2 на 2А путь;НМ2-2АП;0;1;1;15;0;0;0;0;0;0;SHTURM;82;52;0;@свтНм2;@свтЧм2;;;;;;0;0;;0;;;0; 0x010F;0;
1016;Установка поездных маршрутов;Четная передача по ЧМ1 на 1А путь;ЧМ1-1АП;0;1;1;16;0;0;0;0;0;0;SHTURM;51;81;0;@свтЧм1;@свтНм1;;;;;;0;0;;0;;;0; 0x0110;0;
1017;Установка поездных маршрутов;Четная передача по ЧМ1 на 2 путь;ЧМ1-2П;0;1;1;17;0;0;0;0;0;0;SHTURM;51;82;0;@свтЧм1;@свтНм2;;;;;;0;0;;0;;;0; 0x0111;0;
1018;Установка поездных маршрутов;Четная передача по ЧМ2 на 1А путь;ЧМ2-1АП;0;1;1;18;0;0;0;0;0;0;SHTURM;52;81;0;@свтЧм2;@свтНм1;;;;;;0;0;;0;;;0; 0x0112;0;
1019;Установка поездных маршрутов;Четная передача по ЧМ2 на 2 путь;ЧМ2-2П;0;1;1;19;0;0;0;0;0;0;SHTURM;52;82;0;@свтЧм2;@свтНм2;;;;;;0;0;;0;;;0; 0x0113;0;
1020;Установка поездных маршрутов;Четная передача по ЧМ3 на 1А путь;ЧМ3-1АП;0;1;1;20;0;0;0;0;0;0;SHTURM;53;81;0;@свтЧм3;@свтНм1;;;;;;0;0;;0;;;0; 0x0114;0;
1021;Установка маневровых маршрутов;По светофору М1 на 1А путь;ММ1-1АП;0;1;3;1;0;0;0;0;0;0;SHTURM;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0301;0;
1022;Установка маневровых маршрутов;По светофору М1 на 2 путь;ММ1-2П;0;1;3;2;0;0;0;0;0;0;SHTURM;0;0;0;@свтМ1;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0302;0;
1023;Установка маневровых маршрутов;По светофору М3 на 2 путь;ММ3-2П;0;1;3;3;0;0;0;0;0;0;SHTURM;0;0;0;@свтМ3;@свтмЧ2;;;;;;0;0;;0;;;0; 0x0303;0;
1024;Установка маневровых маршрутов;По светофору М2 на 1 путь;ММ2-1П;0;1;3;4;0;0;0;0;0;0;SHTURM;0;0;0;@свтМ2;@свтмН1;;;;;;0;0;;0;;;0; 0x0304;0;
1025;Установка маневровых маршрутов;По светофору М2 на 2А путь;ММ2-2АП;0;1;3;5;0;0;0;0;0;0;SHTURM;0;0;0;@свтМ2;@свтмН2;;;;;;0;0;;0;;;0; 0x0305;0;
1026;Установка маневровых маршрутов;По светофору М2 на 3 путь;ММ2-3П;0;1;3;6;0;0;0;0;0;0;SHTURM;0;0;0;@свтМ2;@свтмН3;;;;;;0;0;;0;;;0; 0x0306;0;
1027;Установка маневровых маршрутов;По светофору Н1М за М2;МН1-М2;0;1;3;7;0;0;0;0;0;0;SHTURM;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x0307;0;
1028;Установка маневровых маршрутов;По светофору Н2М за М2;МН2-М2;0;1;3;8;0;0;0;0;0;0;SHTURM;0;0;0;@свтмН2;@свтМ2;;;;;;0;0;;0;;;0; 0x0308;0;
