NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
37001;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;17;1;1;0;0;0;0;0;0;EANGA;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0101;0;
37002;Установка поездных маршрутов;Нечетный прием по Н на 3 путь;НП-3П;0;17;1;2;0;0;0;0;0;0;EANGA;41;33;0;@свтН;@свтЧ3;;;;;;0;0;;0;;;0; 0x0102;0;
37003;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;17;1;3;0;0;0;0;0;0;EANGA;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0103;0;
37004;Установка поездных маршрутов;Четное отправление по Ч3 с 3 пути;ЧО3П;0;17;1;4;0;0;0;0;0;0;EANGA;33;41;0;@свтЧ3;@свтН;;;;;;0;0;;0;;;0; 0x0104;0;
37005;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;17;1;5;0;0;0;0;0;0;EANGA;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0105;0;
37006;Установка поездных маршрутов;Нечетное отправление по Н3 с 3 пути;НО3П;0;17;1;6;0;0;0;0;0;0;EANGA;23;11;0;@свтН3;@свтЧ;;;;;;0;0;;0;;;0; 0x0106;0;
37007;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;17;1;7;0;0;0;0;0;0;EANGA;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0107;0;
37008;Установка поездных маршрутов;Четный прием по Ч на 3 путь;ЧП-3П;0;17;1;8;0;0;0;0;0;0;EANGA;11;23;0;@свтЧ;@свтН3;;;;;;0;0;;0;;;0; 0x0108;0;
37009;Установка маневровых маршрутов;По светофору М1 на  1 путь;ММ1-1П;0;17;3;1;0;0;0;0;0;0;EANGA;0;0;0;@свтМ1;@свтмЧ1;;;;;;0;0;;0;;;0; 0x0301;0;
37010;Установка маневровых маршрутов;По светофору М1 на  3 путь;ММ1-3П;0;17;3;2;0;0;0;0;0;0;EANGA;0;33;0;@свтМ1;@свтмЧ3;;;;;;0;0;;0;;;0; 0x0302;0;
