NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
6001;Установка поездных маршрутов;Нечетный прием по Н на 1 путь;НП-1П;0;6;1;1;0;0;0;0;0;0;EVORON;41;31;0;@свтН;@свтЧ1;;;;;;0;0;;0;;;0; 0x0101;0;
6002;Установка поездных маршрутов;Нечетный прием по Н на 2 путь;НП-2П;0;6;1;2;0;0;0;0;0;0;EVORON;41;32;0;@свтН;@свтЧ2;;;;;;0;0;;0;;;0; 0x0102;0;
6003;Установка поездных маршрутов;Нечетный прием по Н на 4 путь;НП-4П;0;6;1;3;0;0;0;0;0;0;EVORON;41;34;0;@свтН;@свтЧ4;;;;;;0;0;;0;;;0; 0x0103;0;
6004;Установка поездных маршрутов;Нечетный прием по Н на 7 путь;НП-7П;0;6;1;4;0;0;0;0;0;0;EVORON;41;37;0;@свтН;@свтЧ7;;;;;;0;0;;0;;;0; 0x0104;0;
6005;Установка поездных маршрутов;Четное отправление по Ч1 с 1 пути;ЧО1П;0;6;1;5;0;0;0;0;0;0;EVORON;31;41;0;@свтЧ1;@свтН;;;;;;0;0;;0;;;0; 0x0105;0;
6006;Установка поездных маршрутов;Четное отправление по Ч2 с 2 пути;ЧО2П;0;6;1;6;0;0;0;0;0;0;EVORON;32;41;0;@свтЧ2;@свтН;;;;;;0;0;;0;;;0; 0x0106;0;
6007;Установка поездных маршрутов;Четное отправление по Ч4 с Ч пути;ЧО4П;0;6;1;7;0;0;0;0;0;0;EVORON;34;41;0;@свтЧ4;@свтН;;;;;;0;0;;0;;;0; 0x0107;0;
6008;Установка поездных маршрутов;Четное отправление по Ч7 с 7 пути;ЧО7П;0;6;1;8;0;0;0;0;0;0;EVORON;37;41;0;@свтЧ7;@свтН;;;;;;0;0;;0;;;0; 0x0108;0;
6009;Установка поездных маршрутов;Четный прием по Ч на 1 путь;ЧП-1П;0;6;1;9;0;0;0;0;0;0;EVORON;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0109;0;
6010;Установка поездных маршрутов;Четный прием по Ч на 2 путь;ЧП-2П;0;6;1;10;0;0;0;0;0;0;EVORON;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x010A;0;
6011;Установка поездных маршрутов;Четный прием по Ч на 4 путь;ЧП-4П;0;6;1;11;0;0;0;0;0;0;EVORON;11;24;0;@свтЧ;@свтН4А;;;;;;0;0;;0;;;0; 0x010B;0;
6012;Установка поездных маршрутов;Четный прием по Ч на 7 путь;ЧП-7П;0;6;1;12;0;0;0;0;0;0;EVORON;11;27;0;@свтЧ;@свтН7;;;;;;0;0;;0;;;0; 0x010C;0;
6013;Установка поездных маршрутов;Нечетное отправление по Н1 с 1 пути;НО1П;0;6;1;13;0;0;0;0;0;0;EVORON;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x010D;0;
6014;Установка поездных маршрутов;Нечетное отправление по Н2 с 2 пути;НО2П;0;6;1;14;0;0;0;0;0;0;EVORON;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x010E;0;
6015;Установка поездных маршрутов;Нечетное отправление по Н4А с 4 пути;НО4П;0;6;1;15;0;0;0;0;0;0;EVORON;24;11;0;@свтН4А;@свтЧ;;;;;;0;0;;0;;;0; 0x010F;0;
6016;Установка поездных маршрутов;Нечетное отправление по Н7 с 7 пути;НО7П;0;6;1;16;0;0;0;0;0;0;EVORON;27;11;0;@свтН7;@свтЧ;;;;;;0;0;;0;;;0; 0x0110;0;
